#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
社会意识的相对独立性表现为：它与社会存在的发展不完全同步，具有历史继承性，各形式之间相互影响，并且对社会存在具有能动的反作用。（对/错？）	A. 正确<br>B. 错误	A	正确。相对独立性最突出的表现是社会意识对社会存在的反作用——先进的社会意识促进社会发展，落后的社会意识阻碍社会发展。	考研政治::马原
生产力与生产关系的辩证关系是：	A. 生产力决定生产关系，生产关系反作用于生产力<br>B. 生产关系决定生产力，生产力反作用于生产关系<br>C. 二者相互决定<br>D. 生产力与生产关系之间没有矛盾	A	生产力决定生产关系（决定其性质和变化发展），生产关系反作用于生产力（适合时促进、不适合时阻碍）。生产关系一定要适合生产力状况的规律，是马克思的一大发现。	考研政治::马原
经济基础是指：	A. 由社会一定发展阶段的生产力所决定的生产关系的总和<br>B. 一个社会中各种生产关系的总和<br>C. 生产力与生产关系的统一<br>D. 社会的物质生活资料的生产方式	A	经济基础是占统治地位的生产关系的总和，不含生产力。B 错在「各种」——旧社会残余、新社会萌芽的生产关系不计入；C、D 的范围都大于经济基础（生产方式=生产力+生产关系）。	考研政治::马原
社会形态更替具有统一性，因此各国社会发展的道路是完全一样的。（对/错？）	A. 正确<br>B. 错误	B	错误。社会形态更替具有统一性（一般规律、基本顺序）和多样性（不同国家可有不同道路和形式）。统一性不排斥多样性，如中国可以跨越资本主义充分发展阶段进入社会主义。	考研政治::马原
「人民群众是历史的创造者」这一观点属于：	A. 唯心史观<br>B. 唯物史观<br>C. 英雄史观<br>D. 宿命论	B	人民群众是历史的主体和创造者（创造了物质财富、精神财富，是社会变革的决定力量），这是唯物史观的基本观点。英雄史观属于唯心史观，夸大个别人物的作用。	考研政治::马原
商品的二因素是：	A. 使用价值和价值<br>B. 具体劳动和抽象劳动<br>C. 价值和交换价值<br>D. 价格和价值	A	商品是使用价值和价值的矛盾统一体。使用价值是价值的物质承担者，价值是商品的社会属性。注意区分：商品的二因素是使用价值和价值；劳动的二重性是具体劳动和抽象劳动。	考研政治::马原
关于劳动二重性，下列说法正确的是：	A. 具体劳动创造价值，抽象劳动创造使用价值<br>B. 具体劳动创造使用价值并转移旧价值，抽象劳动形成价值<br>C. 具体劳动和抽象劳动是两次独立的劳动<br>D. 抽象劳动是永恒范畴，具体劳动是历史范畴	B	具体劳动创造使用价值、转移生产资料旧价值；抽象劳动形成价值（价值的唯一源泉）。二者是同一劳动的两个方面，不是两次劳动。具体劳动是永恒范畴，抽象劳动是历史范畴（只在商品经济中存在）——D 项说反了。	考研政治::马原
价值规律的基本内容是：	A. 商品的价值量由生产商品的社会必要劳动时间决定，商品交换以价值量为基础实行等价交换<br>B. 商品的价值量由个别劳动时间决定<br>C. 价格总是等于价值<br>D. 供求关系决定商品价格	A	价值规律的内容：价值量由社会必要劳动时间决定，交换按等价交换原则进行。表现形式是价格围绕价值上下波动。B 错在「个别」；C 错在「总是」；D 是供求决定论，否认了价值的基础作用。	考研政治::马原
剩余价值的源泉是：	A. 雇佣工人的剩余劳动<br>B. 资本家的全部预付资本<br>C. 不变资本<br>D. 先进的生产设备	A	剩余价值是雇佣工人所创造的、被资本家无偿占有的超过劳动力价值的价值，其唯一源泉是雇佣工人的剩余劳动。不变资本只是转移旧价值，不创造新价值；机器设备属不变资本。	考研政治::马原
区分不变资本和可变资本的依据是：	A. 资本的不同部分在剩余价值生产中的不同作用<br>B. 资本的周转速度不同<br>C. 资本在物质形态上的不同<br>D. 资本的价值量大小不同	A	不变资本（以生产资料形式存在）在生产中只转移价值、不改变价值量；可变资本（以劳动力形式存在）能创造出大于自身价值的价值。这一区分揭示了剩余价值的真正来源。	考研政治::马原
绝对剩余价值和相对剩余价值的共同点在于，二者都提高了对工人的剥削程度。（对/错？）	A. 正确<br>B. 错误	A	正确。绝对剩余价值靠延长工作日、提高劳动强度；相对剩余价值靠缩短必要劳动时间、降低劳动力价值（以全社会劳动生产率提高为前提）。二者都提高了剩余价值率。	考研政治::马原
资本积累的实质是资本家用无偿占有的剩余价值来扩大生产规模，从而占有更多的剩余价值。（对/错？）	A. 正确<br>B. 错误	A	正确。资本积累是剩余价值的资本化。资本积累导致资本有机构成提高，形成相对过剩人口，加剧贫富两极分化，是资本主义基本矛盾尖锐化的根源。	考研政治::马原
资本主义经济危机的本质特征是：	A. 生产绝对过剩<br>B. 生产相对过剩<br>C. 消费不足<br>D. 货币短缺	B	经济危机的本质特征是生产相对过剩——相对于劳动人民有支付能力的需求而过剩，不是社会财富的绝对过剩。C、D 都只是现象或表现。	考研政治::马原
社会主义从空想变为科学的标志是：	A. 《乌托邦》的发表<br>B. 唯物史观和剩余价值学说的创立<br>C. 《共产党宣言》的发表<br>D. 巴黎公社的建立	B	唯物史观和剩余价值学说的创立，使社会主义从空想变为科学——前者揭示了社会发展的一般规律，后者揭示了资本主义剥削的秘密。C 项《共产党宣言》是科学社会主义诞生的标志性著作，但使社会主义「从空想变为科学」的理论基石是两大发现。	考研政治::马原
共产主义社会的根本特征是人的自由而全面的发展。（对/错？）	A. 正确<br>B. 错误	A	正确。共产主义的基本特征包括：物质财富极大丰富、人民精神境界极大提高、每个人自由而全面的发展。其中「每个人自由而全面的发展」是共产主义的根本特征和最高价值目标。	考研政治::马原
「两个必然」和「两个决不会」的关系是：	A. 前者讲资本主义灭亡的必然性，后者讲这一过程的长期性，二者统一于社会发展规律<br>B. 二者相互矛盾<br>C. 前者是马克思的观点，后者是恩格斯的观点<br>D. 后者否认了前者	A	「两个必然」（资本主义必然灭亡、社会主义必然胜利）揭示历史总趋势；「两个决不会」（旧制度在全部生产力发挥出来以前不会灭亡，新制度在物质条件成熟以前不会出现）揭示过程的长期性和条件性。二者是统一而非矛盾的。	考研政治::马原
毛泽东思想的活的灵魂有三个基本方面，不包括：	A. 实事求是<br>B. 群众路线<br>C. 武装斗争<br>D. 独立自主	C	毛泽东思想活的灵魂的三个基本方面：①实事求是（精髓）；②群众路线（根本工作路线）；③独立自主（立足点）。武装斗争是中国革命的三大法宝之一，但不是毛泽东思想活的灵魂的基本方面。	考研政治::毛中特
新民主主义革命的性质是资产阶级民主革命。（对/错？）	A. 正确<br>B. 错误	A	正确。新民主主义革命虽然由无产阶级领导，但其性质仍然是资产阶级民主革命（反帝反封建），不是社会主义革命。区别：旧民主主义革命由资产阶级领导，新民主主义革命由无产阶级领导，但任务相同（反帝反封建）。	考研政治::毛中特
毛泽东思想形成的实践基础是：	A. 新民主主义革命的实践<br>B. 中国共产党领导人民进行的革命和建设的实践<br>C. 俄国十月革命的经验<br>D. 马克思列宁主义的传播	B	毛泽东思想是马克思列宁主义在中国的运用和发展，其形成的实践基础是中国共产党领导人民进行的革命和建设的实践。C、D 是外部条件（时代背景和理论渊源），不是实践基础。	考研政治::毛中特
毛泽东思想活的灵魂是：	A. 实事求是、群众路线、独立自主<br>B. 解放思想、实事求是、与时俱进<br>C. 实事求是、群众路线、艰苦奋斗<br>D. 统一战线、武装斗争、党的建设	A	毛泽东思想活的灵魂包含三个基本方面：实事求是、群众路线、独立自主。B 是党的思想路线在不同时期的表述；D 是中国革命的三大法宝，不要混淆。	考研政治::毛中特
实事求是是毛泽东思想的精髓，也是中国共产党人认识世界、改造世界的根本要求。（对/错？）	A. 正确<br>B. 错误	A	正确。「实事求是」是毛泽东思想的精髓，是党的思想路线的核心。1941年毛泽东在《改造我们的学习》中赋予「实事求是」以马克思主义的哲学含义。	考研政治::毛中特
关于毛泽东思想的历史地位，下列说法错误的是：	A. 是马克思主义中国化的第一个重大理论成果<br>B. 是中国革命和建设的科学指南<br>C. 是中国共产党和中国人民宝贵的精神财富<br>D. 是毛泽东个人晚年思想的汇总	D	毛泽东思想是被实践证明了的关于中国革命和建设的正确的理论原则和经验总结，是中国共产党集体智慧的结晶。D 项错在「个人晚年思想」——毛泽东晚年错误不属于毛泽东思想范畴。	考研政治::毛中特
新民主主义革命总路线的核心是：	A. 无产阶级的领导权<br>B. 反对帝国主义<br>C. 反对封建主义<br>D. 反对官僚资本主义	A	新民主主义革命总路线是无产阶级领导的、人民大众的、反对帝国主义、封建主义和官僚资本主义的革命。其中**无产阶级的领导权**是中国革命的核心问题，也是新民主主义革命区别于旧民主主义革命的根本标志。	考研政治::毛中特
新民主主义革命的首要对象是：	A. 帝国主义<br>B. 封建主义<br>C. 官僚资本主义<br>D. 民族资本主义	A	帝国主义是首要对象（帝国主义的侵略是近代中国一切灾难的总根源）；封建主义是主要对象；官僚资本主义是对象之一。民族资本主义不是革命对象，而是保护对象。	考研政治::毛中特
新民主主义革命的动力包括：	A. 工人阶级、农民阶级、城市小资产阶级和民族资产阶级<br>B. 工人阶级和农民阶级<br>C. 工人阶级、农民阶级和城市小资产阶级<br>D. 全体中国人民	A	新民主主义革命的动力是工人阶级、农民阶级、城市小资产阶级和民族资产阶级。其中农民是主力军（农民问题是中国革命的基本问题），工人阶级是领导力量。	考研政治::毛中特
新民主主义革命的性质是无产阶级领导的资产阶级民主革命，其前途是社会主义。（对/错？）	A. 正确<br>B. 错误	A	正确。新民主主义革命的性质是资产阶级民主革命（任务是反帝反封建），但因由无产阶级领导，已不是旧式的一般资产阶级民主革命，其前途是社会主义而非资本主义。	考研政治::毛中特
中国革命的三大法宝是：	A. 统一战线、武装斗争、党的建设<br>B. 实事求是、群众路线、独立自主<br>C. 土地革命、武装斗争、根据地建设<br>D. 统一战线、土地革命、党的建设	A	毛泽东在《〈共产党人〉发刊词》中指出，统一战线、武装斗争、党的建设是中国革命的三大法宝。其中党的建设是中心环节。C 项「工农武装割据」的三个内容，不是三大法宝。	考研政治::毛中特
中国走农村包围城市、武装夺取政权道路的依据中，最基本的是：	A. 中国是一个半殖民地半封建国家，内无民主外无独立<br>B. 中国农民占人口的绝大多数<br>C. 中国政治经济发展不平衡<br>D. 中国处于帝国主义链条的薄弱环节	A	「内无民主、外无独立」决定了中国不能走议会道路，只能武装夺取政权，这是最基本的依据。C 项政治经济发展不平衡是这一道路存在的**根本原因**（为革命根据地存在提供条件），两者容易混淆但问法不同。	考研政治::毛中特
统一战线中的领导权问题是统一战线的核心问题，必须坚持独立自主原则。（对/错？）	A. 正确<br>B. 错误	A	正确。领导权问题是革命统一战线的核心问题。为此必须坚持党对统一战线的领导，坚持独立自主原则，反对「一切经过统一战线」的右倾错误和「一切斗争否认联合」的「左」倾错误。	考研政治::毛中特
党在过渡时期的总路线被简称为「一化三改」，其中「一化」是指：	A. 社会主义工业化<br>B. 农业合作化<br>C. 国家工业化<br>D. 现代化	A	过渡时期总路线 = 社会主义工业化（一化）+ 对农业、手工业、资本主义工商业的社会主义改造（三改）。「一化」是主体，「三改」是两翼，二者相互促进。	考研政治::毛中特
我国对农业进行社会主义改造的步骤依次是：	A. 互助组 → 初级农业生产合作社 → 高级农业生产合作社<br>B. 初级社 → 高级社 → 人民公社<br>C. 供销小组 → 供销合作社 → 生产合作社<br>D. 互助组 → 人民公社 → 高级社	A	农业改造走的是先合作化后机械化的道路，步骤为互助组（社会主义萌芽性质）→ 初级社（半社会主义性质）→ 高级社（社会主义性质）。C 项是手工业改造的步骤。	考研政治::毛中特
我国对资本主义工商业进行社会主义改造采取的政策是：	A. 没收<br>B. 和平赎买<br>C. 征收<br>D. 剥夺	B	对资本主义工商业采取**和平赎买**政策，通过国家资本主义道路（初级形式：加工订货、统购包销、经销代销；高级形式：公私合营）完成改造。对官僚资本才是没收。	考研政治::毛中特
1956年底三大改造基本完成，标志着社会主义基本制度在我国确立，我国进入社会主义初级阶段。（对/错？）	A. 正确<br>B. 错误	A	正确。1956年底三大改造基本完成，实现了生产资料私有制向社会主义公有制的转变，标志着社会主义基本制度在中国确立，是中国历史上最深刻最伟大的社会变革。	考研政治::毛中特
社会主义初级阶段的两层含义是：	A. 我国已经是社会主义社会，我国的社会主义还处在初级阶段<br>B. 我国经济落后，政治制度不完善<br>C. 我国是发展中国家，需要快速发展<br>D. 我国生产力水平低，人民生活水平不高	A	社会主义初级阶段两层含义：①我国已经是社会主义社会（性质），必须坚持而不能离开社会主义；②我国的社会主义还处在初级阶段（程度），必须从这个实际出发，不能超越这个阶段。	考研政治::毛中特
邓小平理论的首要的基本理论问题是：	A. 什么是社会主义、怎样建设社会主义<br>B. 建设什么样的党、怎样建设党<br>C. 实现什么样的发展、怎样发展<br>D. 什么是马克思主义、怎样对待马克思主义	A	「什么是社会主义、怎样建设社会主义」是邓小平理论的首要的基本理论问题。B 是「三个代表」重要思想回答的问题；C 是科学发展观回答的问题。	考研政治::毛中特
社会主义的本质是：	A. 解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到共同富裕<br>B. 公有制为主体、多种所有制经济共同发展<br>C. 按劳分配为主体、多种分配方式并存<br>D. 社会主义市场经济体制	A	1992年南方谈话中邓小平指出：社会主义的本质是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到共同富裕。B、C、D 都是社会主义基本经济制度的内容，不是「本质」。	考研政治::毛中特
解放思想、实事求是是邓小平理论的精髓，也是党的思想路线。（对/错？）	A. 正确<br>B. 错误	A	正确。解放思想、实事求是是邓小平理论的活的灵魂和精髓。1978年《解放思想，实事求是，团结一致向前看》实际上成为十一届三中全会的主题报告。	考研政治::毛中特
党在社会主义初级阶段的基本路线被简称为：	A. 一个中心、两个基本点<br>B. 一化三改<br>C. 两个务必<br>D. 三步走战略	A	基本路线 = 领导和团结全国各族人民，以**经济建设为中心**，坚持**四项基本原则**，坚持**改革开放**，自力更生，艰苦创业，为把我国建设成为富强民主文明的社会主义现代化国家而奋斗。「一个中心、两个基本点」是其简明概括。	考研政治::毛中特
「一国两制」构想的核心是坚持一个中国原则，即世界上只有一个中国，香港、澳门、台湾是中国不可分割的一部分。（对/错？）	A. 正确<br>B. 错误	A	正确。「一国两制」是邓小平提出的解决香港、澳门、台湾问题的基本国策，其核心和根本是坚持一个中国原则。「一国」是前提和基础，「两制」是重要实现形式。	考研政治::毛中特
1992年南方谈话中，邓小平提出的判断改革和各方面工作是非得失的标准是：	A. 三个有利于<br>B. 四项基本原则<br>C. 两个务必<br>D. 三个代表	A	「三个有利于」：是否有利于发展社会主义社会的生产力，是否有利于增强社会主义国家的综合国力，是否有利于提高人民的生活水平。是判断改革得失的根本标准。	考研政治::毛中特
「三个代表」重要思想的本质是：	A. 立党为公、执政为民<br>B. 解放思想、实事求是<br>C. 与时俱进<br>D. 以人为本	A	「三个代表」重要思想的本质是立党为公、执政为民。贯彻「三个代表」，关键在坚持与时俱进，核心在坚持党的先进性，本质在坚持执政为民。	考研政治::毛中特
「三个代表」重要思想进一步回答了什么是社会主义、怎样建设社会主义的问题，创造性地回答了建设什么样的党、怎样建设党的问题。（对/错？）	A. 正确<br>B. 错误	A	正确。这正是「三个代表」重要思想的重大理论贡献——在邓小平理论基础上，把党的建设问题提到了新的理论高度。	考研政治::毛中特
科学发展观的核心立场是：	A. 以人为本<br>B. 推动经济社会发展<br>C. 全面协调可持续<br>D. 统筹兼顾	A	科学发展观：第一要义是**推动经济社会发展**，核心立场是**以人为本**，基本要求是**全面协调可持续**，根本方法是**统筹兼顾**。四个定位极易混淆。	考研政治::毛中特
科学发展观的第一要义是：	A. 推动经济社会发展<br>B. 以人为本<br>C. 全面协调可持续<br>D. 统筹兼顾	A	第一要义是推动经济社会发展。科学发展观回答了「实现什么样的发展、怎样发展」的重大问题，是马克思主义关于发展的世界观和方法论的集中体现。	考研政治::毛中特
科学发展观的基本要求是全面协调可持续，根本方法是统筹兼顾。（对/错？）	A. 正确<br>B. 错误	A	正确。全面协调可持续作为基本要求，要求全面推进经济建设、政治建设、文化建设、社会建设、生态文明建设；统筹兼顾作为根本方法，要求统筹城乡、区域、经济社会、人与自然、国内国际五个方面。	考研政治::毛中特
近代中国社会两大主要矛盾中，最主要的矛盾是：	A. 封建主义和人民大众的矛盾<br>B. 帝国主义和中华民族的矛盾<br>C. 资产阶级和无产阶级的矛盾<br>D. 地主阶级和农民阶级的矛盾	B	近代中国两大主要矛盾：①帝国主义和中华民族的矛盾（最主要）；②封建主义和人民大众的矛盾。帝国主义的侵略是中国社会贫困落后的总根源，因此帝国主义和中华民族的矛盾是最主要的矛盾。	考研政治::史纲
五四运动是中国新民主主义革命的开端。（对/错？）	A. 正确<br>B. 错误	A	正确。五四运动（1919年）标志着中国新民主主义革命的开端：①无产阶级开始登上政治舞台（领导力量变化）；②表现了彻底的反帝反封建精神；③促进了马克思主义在中国的传播。	考研政治::史纲
中国近代史的开端是：	A. 鸦片战争<br>B. 甲午中日战争<br>C. 辛亥革命<br>D. 五四运动	A	1840年鸦片战争是中国近代史的开端。战后签订的《南京条约》是中国近代史上第一个不平等条约，中国开始沦为半殖民地半封建社会。	考研政治::史纲
近代中国社会最主要的矛盾是：	A. 帝国主义和中华民族的矛盾<br>B. 封建主义和人民大众的矛盾<br>C. 资产阶级和无产阶级的矛盾<br>D. 地主阶级和农民阶级的矛盾	A	近代中国社会有两大主要矛盾：帝国主义和中华民族的矛盾、封建主义和人民大众的矛盾。其中**帝国主义和中华民族的矛盾是最主要的矛盾**，决定了近代中国的两大历史任务。	考研政治::史纲
近代中国民族意识觉醒经历的几个阶段依次是：	A. 睁眼看世界 → 救亡图存 → 振兴中华<br>B. 师夷长技 → 中体西用 → 全盘西化<br>C. 太平天国 → 洋务运动 → 戊戌维新<br>D. 维新变法 → 辛亥革命 → 五四运动	A	民族意识觉醒三阶段：①鸦片战争后林则徐、魏源「睁眼看世界」（《海国图志》提出「师夷长技以制夷」）；②甲午战争后救亡图存（严复《天演论》）；③辛亥革命时期「振兴中华」（孙中山）。	考研政治::史纲
近代中国人民反对外国侵略的斗争，无法改变帝国主义列强对中国的侵略和压迫，但粉碎了帝国主义列强瓜分和灭亡中国的图谋。（对/错？）	A. 正确<br>B. 错误	A	正确。这是近代中国人民反侵略斗争的双重意义：一方面由于社会制度的腐败和经济技术的落后，历次反侵略战争都失败了；另一方面，正是人民的英勇斗争粉碎了列强瓜分灭亡中国的图谋。	考研政治::史纲
太平天国运动中，最能体现其纲领性文件的著作是：	A. 《天朝田亩制度》和《资政新篇》<br>B. 《海国图志》<br>C. 《劝世良言》<br>D. 《大同书》	A	《天朝田亩制度》是最能体现太平天国社会理想和这次农民起义特点的纲领性文件（绝对平均主义）；《资政新篇》是太平天国后期带有资本主义色彩的改革方案，但未能付诸实施。	考研政治::史纲
洋务运动的指导思想是：	A. 中学为体、西学为用<br>B. 师夷长技以制夷<br>C. 自强、求富<br>D. 变法维新	A	洋务派以「中学为体、西学为用」为指导思想，主张在不改变封建制度的前提下引进西方器物。这一根本性局限决定了洋务运动不可能使中国真正走上富强道路。	考研政治::史纲
戊戌维新运动失败的主要原因不包括：	A. 资产阶级维新派力量过于弱小<br>B. 依靠没有实权的光绪皇帝<br>C. 得到了帝国主义列强的支持<br>D. 封建守旧势力过于强大	C	戊戌变法失败的原因：①民族资产阶级力量弱小，具有软弱性和妥协性；②依靠无实权的光绪帝，脱离人民群众；③封建守旧势力强大。C 项错误——列强并未支持维新派，反而多持观望甚至反对态度。	考研政治::史纲
太平天国运动、洋务运动和戊戌维新运动的失败，共同证明了在半殖民地半封建的中国，单纯依靠农民阶级或资产阶级都不能完成民族独立、人民解放的历史任务。（对/错？）	A. 正确<br>B. 错误	A	正确。农民阶级不是新的生产力和生产关系的代表（太平天国）；地主阶级洋务派不可能改变封建制度（洋务运动）；资产阶级维新派力量弱小且脱离群众（戊戌维新）。历史呼唤新的领导阶级。	考研政治::史纲
遵义会议的最主要意义在于：	A. 确立了毛泽东在全党的领导地位<br>B. 结束了'左'倾教条主义在中央的统治<br>C. 事实上确立了以毛泽东为核心的党中央的正确领导<br>D. 制定了正确的抗日民族统一战线策略	C	遵义会议（1935年）事实上确立了以毛泽东为核心的党中央的正确领导，是党第一次独立自主地运用马克思列宁主义基本原理解决自己的路线、方针和政策问题，标志着党从幼年走向成熟。注意是'事实上确立'而非'正式确立'。	考研政治::史纲
中国同盟会的政治纲领是：	A. 驱除鞑虏，恢复中华，创立民国，平均地权<br>B. 师夷长技以制夷<br>C. 外争主权，内除国贼<br>D. 自强、求富	A	1905年中国同盟会在日本东京成立，政治纲领是「驱除鞑虏，恢复中华，创立民国，平均地权」。孙中山在《民报》发刊词中将其阐发为民族、民权、民生三大主义。	考研政治::史纲
