#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
OSI参考模型中，负责数据格式转换和加密解密的是：	A. 会话层<br>B. 表示层<br>C. 应用层<br>D. 传输层	B	表示层（Presentation Layer）负责：①数据格式转换（如ASCII↔EBCDIC）；②数据加密/解密；③数据压缩/解压缩。会话层管理会话，应用层提供用户接口，传输层提供端到端可靠传输。	考研408::计算机网络
UDP提供的是无连接、不可靠但高效的数据传输服务。（对/错？）	A. 正确<br>B. 错误	A	正确。UDP特点：①无连接（不建立连接直接发送）；②不可靠（不保证交付、不排序、无流量控制和拥塞控制）；③面向报文（应用层给多大就发多大）；④支持多播和广播。正因省去了可靠性机制，UDP开销小、速度快。	考研408::计算机网络
DNS解析过程中，递归查询和迭代查询的区别是：	A. 递归查询更快<br>B. 递归查询要求被询问服务器代为查询完整结果，迭代查询只返回下一步应查询的服务器<br>C. 迭代查询只能查询本地域名<br>D. 递归查询不使用UDP	B	递归查询：客户端要求DNS服务器代为完成完整查询并返回最终结果。迭代查询：DNS服务器只返回'你应该去问谁'（返回下一级服务器地址），由客户端继续查询。通常客户端到本地DNS用递归，本地DNS到其他DNS用迭代。	考研408::计算机网络
HTTP是无状态协议，这意味着服务器不记录之前请求的信息。（对/错？）	A. 正确<br>B. 错误	A	正确。HTTP是无状态协议（stateless），每个请求独立处理，服务器不保存客户端的会话信息。为了实现有状态的交互（如登录），引入了Cookie和Session机制。HTTP/1.1的持久连接保持TCP连接但不改变无状态特性。	考研408::计算机网络
冯·诺依曼体系结构的核心思想是：	A. 使用高级语言编程<br>B. 存储程序、程序控制<br>C. 使用二进制运算<br>D. 采用总线结构	B	冯·诺依曼体系的核心是'存储程序'和'程序控制'：程序和数据以二进制形式存储在存储器中，计算机按程序顺序自动执行。这是现代计算机的基本工作原理。	考研408::计算机组成原理
以下关于CPI、MIPS和FLOPS的说法，正确的是：	A. CPI是执行一条指令所需的时钟周期数，越低越好<br>B. MIPS可以直接比较不同架构的CPU性能<br>C. FLOPS衡量的是整数运算能力<br>D. CPI相同的两个CPU性能一定相同	A	CPI（Cycles Per Instruction）越低说明每条指令用的周期越少。但MIPS不能跨架构比较（不同指令集功能不同）。FLOPS衡量浮点运算能力。CPI相同但主频不同，性能也不同。	考研408::计算机组成原理
补码表示法的主要优势是：	A. 能表示更大的数<br>B. 将减法转化为加法，统一了加减运算<br>C. 没有编码冗余<br>D. 可以表示小数	B	补码的最大优势：①将减法转化为加法（[A-B]补=[A]补+[-B]补），统一了加减法电路；②零的表示唯一（原码有+0和-0两种表示）。这是计算机用补码表示有符号整数的根本原因。	考研408::计算机组成原理
浮点数的表示范围比定点数大，但精度不一定比定点数高。（对/错？）	A. 正确<br>B. 错误	A	正确。浮点数通过阶码扩大表示范围，但尾数位数有限，精度受尾数位数限制。相同位数下，浮点数范围大但精度不均匀（大数精度低，小数精度高），定点数精度均匀但范围小。	考研408::计算机组成原理
IEEE 754单精度浮点数中，阶码采用偏移值127的目的是：	A. 提高运算速度<br>B. 使阶码可用无符号整数表示，简化比较<br>C. 增加表示范围<br>D. 减少舍入误差	B	偏移码（移码）= 真值 + 偏移量(127)。这样做的好处：①阶码全部为非负数，可用无符号整数电路处理；②浮点数比较大小可以先比较阶码（作为无符号整数），简化了硬件设计。	考研408::计算机组成原理
Cache的地址映射方式中，冲突率最低的是：	A. 直接映射<br>B. 全相联映射<br>C. 组相联映射<br>D. 段页式映射	B	全相联映射允许主存任意一块映射到Cache任意一行，灵活性最大，冲突率最低。但硬件实现复杂（需全表比较），实际中常用组相联映射作为折中方案。	考研408::计算机组成原理
Cache的命中率只与Cache容量有关，与映射方式无关。（对/错？）	A. 正确<br>B. 错误	B	错误。Cache命中率受多种因素影响：①Cache容量（越大命中率越高）；②映射方式（全相联 > 组相联 > 直接映射）；③替换算法（LRU通常优于FIFO）；④块大小（适当增大可提高空间局部性利用）。	考研408::计算机组成原理
虚拟存储器中，页表和段表的主要区别是：	A. 页表管理物理内存，段表管理外存<br>B. 分页对用户透明，分段反映用户程序的逻辑结构<br>C. 段表比页表更节省内存<br>D. 分页是连续分配，分段是离散分配	B	分页是物理上的划分（固定大小的页），对用户透明；分段是逻辑上的划分（按程序的逻辑模块），反映用户意图。分页主要解决内存利用率问题，分段主要解决共享和保护问题。	考研408::计算机组成原理
TLB（快表/页表缓存）的作用是：	A. 存储页表的全部内容<br>B. 加速虚拟地址到物理地址的转换<br>C. 替代Cache使用<br>D. 存储磁盘数据	B	TLB是页表的高速缓存，存放最近使用的页表项。访问TLB命中时可直接得到物理页号，无需访问内存中的页表，大大加速地址转换。TLB未命中时仍需查页表，并将结果回填TLB。	考研408::计算机组成原理
Cache—主存层次结构的总容量等于主存容量与Cache容量之和。（对/错？）	A. 正确<br>B. 错误	B	错误。Cache 中存放的是主存活跃块的副本，数据与主存大量重叠；且 Cache 对 CPU 完全透明、没有独立的地址编码，CPU 发出的始终是主存地址。因此该层次结构的逻辑存储容量按主存容量计算，Cache 不计入。一句话：Cache 扩展的是速度，不是容量；真正扩展容量的是虚拟存储器。	考研408::计算机组成原理
按408常规定义（唐朔飞/王道），采用组相联映射时，主存块号到Cache组号的映射关系是？	A. 组号 = 主存块号 mod 组数<br>B. 组号 = ⌊主存块号 / 路数⌋ mod 组数<br>C. 组号 = 主存块号 / 组数<br>D. 组号 = 主存块号 mod 路数	A	常规定义：Cache 组号 = 主存块号 mod 组数，相邻主存块交替映射到不同组。⌊主存块号 / 路数⌋ mod 组数 是蒋本珊《计算机组成原理》的定义，只有 2012 年 408 因当年指定该教材而使用（当年真题原题特别注明「本题映射方式与本书所讲不同」），2009、2013 至今均用常规定义。	考研408::计算机组成原理
某计算机主存地址32位、按字节编址，块大小32B，Cache数据区32KB，采用4路组相联映射。则组索引位数和Tag位数分别是？	A. 组索引10位，Tag 17位<br>B. 组索引8位，Tag 19位<br>C. 组索引8位，Tag 17位<br>D. 组索引12位，Tag 15位	B	三步法：①块内偏移 = log₂(32B) = 5 位；②Cache 总行数 = 32KB / 32B = 1024 行，4 路组相联 → 组数 = 1024 / 4 = 256 = 2⁸ → 组索引 8 位；③Tag = 32 − 8 − 5 = 19 位。对照：直接映射（1024 行）索引 10 位、Tag 17 位；全相联索引 0 位、Tag 27 位。组内并行比较，比较器个数 = 路数 = 4。	考研408::计算机组成原理
直接映射的Cache不需要替换算法。（对/错？）	A. 正确<br>B. 错误	A	正确。直接映射中每个主存块只能映射到唯一的一行，位置固定，新块调入时直接覆盖原来那一行，没有选择的余地，因此不需要替换算法。组相联和全相联在组内/全局有多行可选，必须用 LRU、FIFO、随机等替换算法决定淘汰哪一行。	考研408::计算机组成原理
Cache与主存之间进行替换时的基本单位是？	A. 字节<br>B. 字<br>C. 块（行）<br>D. 页	C	Cache 与主存之间以「块（行）」为单位整体交换数据，这是空间局部性的要求：访问某地址时把包含它的一整块调入，后续访问相邻数据即可命中。注意区分：CPU 访存的单位是字/字节，Cache 命中时只读写块中的某个字，只有未命中时才整块替换。「页」是虚拟存储器的交换单位。	考研408::计算机组成原理
指令Cache的空间局部性通常比数据Cache更好。（对/错？）	A. 正确<br>B. 错误	A	正确。程序取指以顺序执行为主，PC 通常按 PC+4 递增，编译后的代码在内存中连续存放，取一条指令后同一块内的后续指令大概率马上被用到，因此指令 Cache 的空间局部性更好。数据访问模式复杂——链表中结点分散、哈希表随机访问、数组大跨距访问，都会破坏空间局部性，因此数据 Cache 的空间局部性相对较差。	考研408::计算机组成原理
以下寻址方式中，获取操作数速度最快的是：	A. 直接寻址<br>B. 寄存器寻址<br>C. 间接寻址<br>D. 基址寻址	B	寄存器寻址的操作数在CPU内部寄存器中，不需要访问内存，速度最快。直接寻址需访问一次内存，间接寻址需要访问两次内存，基址寻址需要加法运算后再访问内存。	考研408::计算机组成原理
RISC（精简指令集）的指令条数比CISC少，所以程序执行一定更快。（对/错？）	A. 正确<br>B. 错误	B	错误。RISC指令简单，每条指令执行快（通常一个时钟周期），但完成同样功能可能需要更多条指令。CISC指令复杂，单条功能强但执行慢。两者各有优劣，实际性能取决于具体实现和应用场景。	考研408::计算机组成原理
指令流水线中，数据冒险（Data Hazard）的解决方法不包括：	A. 数据前推（旁路）<br>B. 插入气泡（stall）<br>C. 增大Cache容量<br>D. 调整指令顺序（编译器优化）	C	数据冒险的解决方法：①数据前推（将结果提前送到需要的功能单元）；②插入气泡（等待若干周期）；③编译器重排指令顺序。增大Cache容量解决的是访存性能问题，与流水线数据冒险无关。	考研408::计算机组成原理
关于指令流水线的性能指标，以下说法正确的是：	A. 流水线级数越多，吞吐率一定越高<br>B. 加速比 = 不用流水线的时间 / 使用流水线的时间<br>C. 流水线级数越多效率一定越高<br>D. 流水线没有额外开销	B	加速比=非流水线执行时间/流水线执行时间。流水线级数增加会减少每级延迟，但也增加了寄存器开销和控制复杂度，存在最优级数。吞吐率还受限于最慢的功能段。	考研408::计算机组成原理
MIPS五段流水线中，下列关于load-use数据冒险的说法正确的是？	A. load-use冒险可以用数据前推（转发）完全解决，不需要阻塞<br>B. load在MEM段才产生数据，而下一条指令在EX段就需要，转发来不及，必须阻塞一个周期<br>C. load-use冒险只发生在load与store之间<br>D. 只要两条指令之间隔了2条无关指令，就一定是load-use冒险	B	ALU 指令在 EX 段前半段产生结果，可以 EX→EX 转发；load 要到 MEM 段后半段才拿到数据，而下一条指令的 EX 段在同一周期的前半段就要用，时间上赶不上，因此必须阻塞（插入气泡）一个周期。判断 load-use 的三个条件：前一条是 load、后一条在 EX 段要用该 load 的目标寄存器、两条指令相邻（中间隔一条无关指令通常转发即可覆盖）。	考研408::计算机组成原理
标准五段流水线中，分支指令在EX段确定是否跳转，会影响2个周期（I+1已在ID段、I+2已在IF段被错误取入）。（对/错？）	A. 正确<br>B. 错误	A	正确。控制冒险发生在 IF 段：取指时还不知道下一条该取 PC+4 还是分支目标地址。标准五段流水线中 BEQ 用 ALU 在 EX 段做 rs−rt 比较后才确定跳转，此时 I+1 已进入 ID 段、I+2 已进入 IF 段，共 2 条指令被错误取入需要清空，即影响 2 个周期。若在 ID 段用专用比较器提前判断条件，则只影响 1 个周期。	考研408::计算机组成原理
关于微程序控制器中的控制存储器（CM），下列说法正确的是？	A. CM是寄存器，用于暂存当前正在执行的微指令<br>B. CM是Cache，用于缓存主存中的微程序<br>C. CM是ROM，专门存放微指令，属于控制器的一部分<br>D. CM就是主存中划出的一段区域	C	控制存储器 CM 是只读存储器（ROM），用于存放微程序（微指令序列）。它既不是寄存器（寄存器是 CPU 中的时序元件，数量少、按名字访问），也不是 Cache（Cache 是主存数据的高速副本，映射的是主存地址），更不属于主存。CM 属于控制器的一部分，与主存和数据通路隔离。	考研408::计算机组成原理
微程序控制器中，取指微程序是所有机器指令共享的公共微程序，执行微程序则因指令而异。（对/错？）	A. 正确<br>B. 错误	A	正确。所有机器指令都要先取指，因此取指微程序是公共的，在控制存储器中只需存一份；取指完成后，由 IR 中的操作码字段决定转入哪一段执行微程序，每条机器指令对应自己专用的执行微程序。另外注意：取指微程序也要占用 CM 空间，所以机器指令条数与微指令条数并不成正比。	考研408::计算机组成原理
关于中断隐指令，下列说法正确的是？	A. 中断隐指令是一条有操作码的ISA指令，程序员可以写在程序里<br>B. 中断隐指令是硬件自动执行的微操作序列，没有操作码，程序员不可控<br>C. 中断隐指令就是关中断指令CLI<br>D. 中断隐指令由操作系统在中断服务程序中显式调用	B	中断隐指令并不是真正的指令，而是 CPU 响应中断后由硬件自动完成的一系列微操作：关中断、保存断点（PC）、引出中断服务程序。它没有操作码，程序员无法编程控制，因此不属于 ISA 指令。CLI/STI 是有操作码、可以写在代码里的 ISA 指令，与中断隐指令中的「关中断」微操作是两回事。	考研408::计算机组成原理
关于程序计数器PC的更新，下列说法正确的是？	A. PC的自增量为1，每条指令执行后固定加1<br>B. PC不能被任何指令修改<br>C. PC的自增量是当前指令的长度，且PC只能由转移/调用/返回/中断类指令隐式修改<br>D. 程序员可以用普通算术指令直接对PC赋值	C	顺序执行时 PC ← PC + 当前指令长度；变长指令集中不同指令长度不同，因此不是固定加 1。PC 不是通用寄存器，普通指令不能显式操作它，只有转移、调用、返回、中断等控制类指令才能隐式修改：调用后 PC = 被调用过程入口地址；无条件转移后 PC = 目标地址；条件转移后 PC 不一定为转移目标地址（要看条件是否成立）。	考研408::计算机组成原理
寄存器与Cache都由SRAM构成、都在CPU芯片内，但寄存器对程序员可见、可由指令显式读写，Cache对程序员透明、由硬件自动管理。（对/错？）	A. 正确<br>B. 错误	A	正确。两者都是 CPU 内部的高速存储，都用 SRAM，但所属层次不同：寄存器属于 ISA 层面——有名字、出现在指令中、程序员可见可编程；Cache 属于微架构层面——没有独立地址空间、对程序员完全透明、由硬件自动完成装入与替换。这也是「寄存器不属于存储层次结构、Cache 属于」这一常见结论的来源。	考研408::计算机组成原理
关于超标量与超流水线，下列说法正确的是？	A. 超标量是纵向细分流水线，增加段数、缩短时钟周期<br>B. 超流水线是横向扩展功能部件，每周期同时发射多条指令<br>C. 超标量是每周期同时发射多条指令（空间并行），超流水线是进一步细分流水线段（时间并行）<br>D. 超标量必须依赖多核才能实现	C	超流水线 = 把流水线进一步细分，段数增加、时钟周期缩短，同一套硬件分更多时段工作，属于时间并行；超标量 = 重复设置多套功能部件，在一个周期内同时发射并执行多条指令，属于空间并行。两者可以叠加使用。超标量在单核内即可实现，不依赖多核。	考研408::计算机组成原理
DMA方式与中断方式的主要区别是：	A. DMA由软件实现，中断由硬件实现<br>B. DMA数据传输不经过CPU，中断需要CPU参与数据传输<br>C. DMA只能用于磁盘，中断可用于所有设备<br>D. DMA的优先级比中断低	B	DMA的核心特点是数据传输由DMA控制器（DMAC）直接管理，数据在内存和设备之间直接传送，不经过CPU。只在传送开始和结束时才需要CPU介入（通过中断）。中断方式则全程需要CPU参与数据传输。	考研408::计算机组成原理
DMA传送过程中，CPU完全不能执行任何程序。（对/错？）	A. 正确<br>B. 错误	B	错误。DMA传送时，CPU可以继续执行程序（因为数据不经过CPU）。但当DMA与CPU同时访问内存时，DMA优先级更高，CPU会被'窃取'一个或几个存储周期（周期窃取方式）。CPU只是暂停若干周期，而非完全停止。	考研408::计算机组成原理
I/O端口编址方式中，统一编址（存储器映射I/O）的特点是：	A. I/O端口有独立的地址空间<br>B. I/O端口占用存储器地址空间，使用访存指令访问<br>C. 需要专门的I/O指令<br>D. I/O端口数量不受限制	B	统一编址将I/O端口映射到内存地址空间，用访存指令（load/store）即可访问I/O端口，不需要专门的I/O指令。缺点：占用了存储器地址空间。独立编址则I/O有单独地址空间，需用IN/OUT等专用指令。	考研408::计算机组成原理
同步通信方式中，总线时钟信号由谁提供？	A. 主设备提供<br>B. 从设备提供<br>C. 总线控制器（总线时钟发生器）统一提供<br>D. 每个设备各自提供	C	同步通信的总线时钟由总线控制器（总线时钟发生器）统一产生，所有主设备和从设备共享同一个时钟信号，在相同的时钟边沿完成地址、数据、控制信号的采样与输出。易错点：时钟既不是主设备提供，也不是从设备提供。	考研408::计算机组成原理
总线事务分离（Split Transaction）提高总线利用率的核心机制是：	A. 把一次传输拆成多个更小的数据块<br>B. 请求与响应分两段占用总线，两段之间释放总线给其他设备<br>C. 提高总线时钟频率<br>D. 增加总线宽度	B	分离事务把一次总线操作拆成「请求阶段」和「响应阶段」：主设备发出请求后立即释放总线，从设备准备好数据后再申请总线送回响应。两段之间总线可被其他主设备使用，从而提高利用率。对比：流水线事务是连续发送多个请求并顺序匹配响应，靠隐藏延迟提高吞吐。	考研408::计算机组成原理
现代高速总线（如 PCIe）采用串行差分传输而不沿用并行总线，主要原因是：	A. 串行一次能传输的数据更多<br>B. 并行总线提高频率时受信号偏移与串扰限制，采样窗口被吃掉<br>C. 串行总线的制造成本更低<br>D. 并行总线无法实现全双工	B	并行总线多根线难以等长，频率越高，到达时间差（skew）占码元的比例越大；并排走线还有串扰；且所有线必须等最慢的一根，频率被最差路径锁死。串行差分信号抗干扰强、可低压差分，单 Lane 频率轻松做到几 GHz，再靠 x1/x2/x4/x8/x16 多条 Lane 横向堆带宽。本质：PCIe 不是「更快的 PCI」，而是把共享马路换成了多条独立高速专线。	考研408::计算机组成原理
总线频率越高，总线周期越长。（对/错？）	A. 正确<br>B. 错误	B	错误。总线周期与频率成反比：T = 1/f。频率越高，周期越短。常见换算：33 MHz 的周期约 30.3 ns（不是 33 ns），100 MHz 的周期是 10 ns，1 GHz 的周期是 1 ns。口诀：频率每升高 10^3 倍，周期单位降一级（s → ms → μs → ns）。	考研408::计算机组成原理
某同步总线时钟频率为 100 MHz，总线宽度 32 位，每个时钟周期传送一次数据，则总线带宽约为：	A. 3200 MB/s<br>B. 400 MB/s<br>C. 800 MB/s<br>D. 100 MB/s	B	总线带宽 = 总线频率 × 每次传输的字节数 = 100×10^6 × (32/8) = 100×10^6 × 4 B = 400×10^6 B/s = 400 MB/s。核心陷阱是单位：宽度给的是「位」，带宽要的是「字节」，必须先除以 8，不能把「位」和「字节」两套账混着算。	考研408::计算机组成原理
在Cache与虚拟内存联动机制中，当CPU访问的虚拟地址对应的页不在物理内存中时(缺页)，以下描述正确的是？	A. Cache直接返回缺页数据<br>B. 先处理缺页中断将页调入内存，然后再查Cache<br>C. Cache和缺页处理完全独立，互不影响<br>D. TLB命中则不会发生缺页	B	缺页时需要先将页面从磁盘调入物理内存（缺页中断处理），更新页表和TLB后，CPU才能正确访问该数据。如果Cache使用虚拟地址标记(VI)，可能在页面换入后Cache中无该数据。	考研408::计算机组成原理
中断机制与进程管理的关联中，以下说法正确的是？	A. 中断发生时CPU切换到用户态处理<br>B. 外部中断(如I/O完成)可能唤醒阻塞态进程<br>C. 中断向量表由用户进程维护<br>D. 中断处理不需要保存进程上下文	B	外部中断(如I/O完成中断)表示某个I/O操作完成，此时操作系统会检查是否有进程正在等待该I/O，若有则将进程从阻塞态唤醒。中断发生时CPU进入核心态，中断向量表由系统维护，且必须保存被中断进程的上下文。	考研408::操作系统
文件系统中使用的B+树索引与数据结构中的B树相比，以下说法正确的是？	A. B+树的所有节点都存储数据记录<br>B. B+树只有叶子节点存储数据记录，内部节点仅做索引<br>C. B+树的查找效率不如B树<br>D. B+树不支持顺序访问	B	B+树的特点是只有叶子节点存储实际数据(或数据指针)，内部节点仅存储索引键值。叶子节点之间用链表连接，支持高效的顺序扫描。文件系统的目录索引常用B+树结构。	考研408::数据结构
TCP/IP协议栈中，OS的网络层(如Linux的IP层)与计网的网络层对应。以下关于网络层+OS的描述正确的是？	A. IP分组转发不需要OS参与<br>B. OS的网络协议栈在内核态运行，网络中断由网卡硬件触发<br>C. TCP连接建立完全由应用层完成<br>D. OS不为网络数据分配缓冲区	B	OS的网络协议栈运行在内核态，网卡接收到数据后触发硬件中断，OS中断处理程序将数据送入协议栈处理。IP分组转发需要OS路由表支持，TCP连接建立由传输层（内核）完成，OS需要为网络数据分配SKB(socket buffer)。	考研408::操作系统
OS中的缓冲区管理(如I/O缓冲区)与数据结构中的队列密切相关。以下关于缓冲队列的说法正确的是？	A. 单缓冲区方案中，生产者和消费者可以完全并行<br>B. 双缓冲区方案使用两个缓冲区交替使用，减少了等待时间<br>C. 循环缓冲区不使用队列的概念<br>D. 缓冲区大小对系统性能没有影响	B	双缓冲(Double Buffering)方案使用两个缓冲区，当进程向一个缓冲区写数据时，另一个缓冲区的数据可以被读取，两者交替使用。这比单缓冲减少了等待时间，体现了队列/缓冲区在I/O管理中的重要性。	考研408::数据结构
DMA(Direct Memory Access)与OS的I/O管理配合工作时，以下描述正确的是？	A. DMA传输不需要CPU参与任何环节<br>B. DMA在数据传输阶段直接访问内存，传输完成后通过中断通知CPU<br>C. DMA传输过程中CPU必须停止所有操作<br>D. DMA只能用于磁盘I/O，不能用于网络	B	DMA在数据传输阶段直接与内存交换数据，不经过CPU。传输完成后DMA控制器发出中断信号，CPU的中断处理程序通知OS进行后续操作(如唤醒等待I/O的进程)。DMA初始化时仍需CPU设置参数。	考研408::计算机组成原理
TLB(快表)、页表和Cache的三级查找中，以下关于地址转换过程的描述正确的是？	A. 先查Cache，再查TLB，最后查页表<br>B. 先查TLB，命中则直接获得物理地址；未命中查页表获得物理页框号，再用物理地址查Cache<br>C. TLB和页表都在Cache中存储<br>D. TLB未命中就意味着Cache一定未命中	B	地址转换顺序：1)用VPN查TLB，命中->得到PFN->组成物理地址->查Cache；2)TLB未命中->查页表得到PFN->更新TLB->用物理地址查Cache。TLB使用虚拟页号索引，Cache可以使用物理或虚拟地址标记。	考研408::计算机组成原理
指令流水线与指令系统的关联中，RISC相比CISC更有利于流水线执行的原因是？	A. RISC指令数量更多<br>B. RISC指令长度固定、执行时间相近，便于流水线各级均匀划分<br>C. RISC不需要寄存器<br>D. RISC只有一条指令	B	RISC指令集的特点是：指令长度固定、寻址方式简单、大部分指令在一个时钟周期完成。这使得流水线的取指、译码、执行等各阶段时间均衡，减少流水线气泡，提高吞吐率。	考研408::计算机组成原理
Socket编程中，TCP三次握手与OS进程状态的关系，以下说法正确的是？	A. TCP握手期间进程始终处于运行态<br>B. 调用connect()后进程可能进入阻塞态等待握手完成<br>C. TCP握手由应用层直接完成，不经过OS<br>D. 三次握手失败时进程会自动转为僵尸进程	B	在TCP客户端调用connect()后，OS内核发起三次握手，此时进程通常进入阻塞态(等待连接建立)。握手完成后进程被唤醒回到就绪态。TCP握手由OS的传输层内核代码完成，应用层只是触发。	考研408::操作系统
磁盘调度算法(如SCAN、C-SCAN)与文件系统的连续分配方式配合时，以下说法正确的是？	A. 连续分配方式不需要磁盘调度<br>B. 连续分配使文件的物理块相邻，SCAN算法能最大化顺序读的性能<br>C. C-SCAN比SCAN更适合连续分配<br>D. 磁盘调度只与磁头移动有关，与文件分配方式完全无关	B	连续分配的文件在磁盘上物理相邻，使用SCAN/C-SCAN等调度算法按磁道顺序访问时，磁头移动距离最小化，顺序读性能最优。文件分配方式影响磁盘请求的分布，与调度算法协同优化I/O性能。	考研408::操作系统
以下关于算法特性的描述，哪个是错误的？	A. 算法必须有穷性——在有限步之后终止<br>B. 算法必须有输入——至少需要一个输入<br>C. 算法的确定性——每条指令含义唯一<br>D. 算法的可行性——每条指令可通过基本运算实现	B	算法可以有零个或多个输入，不是必须有输入。有些算法可以没有外部输入（如产生随机序列的算法）。其他三个选项都是算法的基本特性。	考研408::数据结构
时间复杂度O(n)的算法一定比O(n²)的算法运行速度快。（对/错？）	A. 正确<br>B. 错误	B	错误。时间复杂度描述的是随输入规模增长的趋势，不是实际运行时间。在小规模输入时，O(n²)的算法可能因常数因子更小而更快。比如n较小时，n²+1可能比100n小。	考研408::数据结构
以下哪种时间复杂度增长率最慢？	A. O(n!)<br>B. O(2^n)<br>C. O(n^3)<br>D. O(n log n)	D	增长率从小到大：O(1) < O(log n) < O(n) < O(n log n) < O(n²) < O(n³) < O(2^n) < O(n!)。O(n log n)增长率最慢，效率最高。	考研408::数据结构
单链表增加头结点的主要好处是什么？	A. 提高查找速度<br>B. 统一空表和非空表的操作<br>C. 节省存储空间<br>D. 支持随机访问	B	头结点使得对第一个结点的操作（插入、删除）与其他结点一致，也统一了空表和非空表的处理逻辑，减少了特殊情况的判断。	考研408::数据结构
