#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
完形填空中，选择最佳答案的第一步应该是：	A. 看四个选项的区别<br>B. 通读全文了解大意<br>C. 直接根据语法选择<br>D. 从第一个空开始逐个填	B	完形填空的正确做题步骤：①先通读全文（跳过空格），把握文章主旨和逻辑脉络；②再逐空分析，结合上下文语境选择；③最后通读检查。不看全文直接填空容易选错，因为很多空需要上下文线索。	考研英语一::完形填空
下列哪一组情况只能用 that 引导定语从句？	A. 非限制性定语从句（逗号后），或关系词前有介词时<br>B. 先行词被最高级/序数词/only 修饰，或先行词是不定代词时<br>C. 关系词指代前面整个主句时（which surprised everyone）<br>D. 先行词是专有名词且从句用逗号与主句隔开时	B	只用 that：先行词被最高级/序数词/only/very/same 修饰（the best film that I've ever seen）、先行词是不定代词（All that glitters is not gold.）、先行词既有人又有物（the men and books that interested him）。只用 which：逗号后的非限制性从句（The house, which was built in 1750, is now a museum.）、介词后（the house in which he lives）、指代整个主句（He passed the exam, which surprised everyone.）。	考研英语一::语法
I don't think he is right. 的准确含义是？	A. 我认为他是对的（两个否定相互抵消）<br>B. 我不持有「他对」这个观点，对他对错不作判断<br>C. 我认为他不对（否定从句，not 只是形式上留在主句）<br>D. 我不认为他对，但也不确定他错	C	think / believe / suppose / expect / imagine / seem / appear 带宾语从句时，从句的否定习惯移到主句，这叫否定转移，语义仍在从句：I don't think he is right. = 我认为他不对。简略回应用 I don't think so.。注意 hope 不发生否定转移：只能说 I hope not.（❌ I don't hope so.）	考研英语一::语法
名词性从句中，介词后面只能用 whether 引导，不能用 if。（对/错？）	A. 正确<br>B. 错误	A	正确。It depends on whether he agrees. ✓ / It depends on if he agrees. ✗。同理「与 or not 直接连用」「不定式前」「句首主语从句」三种情况也只能用 whether。	考研英语一::语法
虚拟语气中，与过去事实相反的条件句，从句和主句分别用什么形式？	A. 从句 did/were；主句 would do<br>B. 从句 had done；主句 would have done<br>C. 从句 had done；主句 would do<br>D. 从句 were to do/should do；主句 would do	B	与过去事实相反：从句用过去完成时（had done），主句用 would/should/could/might + have done。对照另两种：与现在事实相反 → 从句一般过去时（be 用 were）、主句 would do；与将来事实相反 → 从句过去时/were to do/should do、主句 would do。	考研英语一::语法
把 He made me do it. 变成被动语态，正确的是？	A. I was made doing it.（被动改用 doing）<br>B. I was made do it.（被动仍省略 to）<br>C. I was made to do it.（被动须还原 to）<br>D. I was made done it.（被动用过去分词）	C	使役动词（let / make / have）和感官动词（see / hear / watch / feel / notice）主动语态后接裸不定式（省略 to），被动语态必须把 to 还原：He made me do it. → I was made to do it.；I saw him run. → He was seen to run.	考研英语一::语法
I saw him leave. 与 I saw him leaving. 的区别是？	A. 前者是看见正在离开，后者是看见离开的全过程<br>B. 前者表示命令他离开，后者表示目送他离开<br>C. 两者完全同义，只是英式与美式的用词差异<br>D. 前者是看见离开的全过程，后者是看见正在离开	D	感官动词后接裸不定式表动作的**全过程**，接现在分词表动作**正在进行**：I saw him leave.（看见他离开的全过程）／ I saw him leaving.（看见他正在离开）；I heard her sing.（听见她唱完）／ I heard her singing.（听见她正在唱）。	考研英语一::语法
look forward to ___ from you. 与 be used to ___ early. 中 to 后的动词形式是？	A. 两处都用 doing：这两个 to 都是介词<br>B. 前者用 doing，后者用 do<br>C. 前者用 do，后者用 doing<br>D. 两处都用 do：两个 to 都是不定式标记	A	to 有两种身份：不定式标记（后接动词原形，want to do）与介词（后接名词/动名词）。介词 to 的常见搭配：look forward to doing、object to doing、be used to doing（习惯于）、devote oneself to doing、prefer doing A to doing B。区分技巧：介词 to 可换成 toward，不定式 to 不能。⚠️ be used to doing（习惯于）≠ be used to do（被用来做，to 是不定式标记）。	考研英语一::语法
insist 后面既可以接 insist on doing sth，也可以接 insist to do sth。（对/错？）	A. 正确<br>B. 错误	B	错误。insist 只接 on doing 或 that 从句（insist that sb (should) do），没有 insist to do 的用法。同类高频搭配还有：object to doing、look forward to doing、be used to doing。	考研英语一::语法
把 I have never seen it. 改写成 Never 开头的倒装句，正确的是？	A. Never I have seen it.<br>B. Never have seen I it.<br>C. Never have I seen it.<br>D. Never do I have seen it.	C	否定/半否定词（never / hardly / scarcely / barely / seldom / rarely / little / nowhere / not only / not until / no sooner / by no means / in no case / on no account）置于句首表强调时，用部分倒装：把助动词提到主语前。Never have I seen it.／Not only did he come, but he also spoke.（还原：He not only came…）	考研英语一::语法
虚拟语气中，与现在事实相反的条件句，主句和从句分别用什么时态？	A. 主句：would+动词原形；从句：一般过去时（be用were）<br>B. 主句：would have+过去分词；从句：过去完成时<br>C. 主句：will+动词原形；从句：一般现在时<br>D. 主句：would+动词原形；从句：现在进行时	A	与现在事实相反：从句用一般过去时（If I were...），主句用would/should/could/might+动词原形。与过去事实相反：从句用过去完成时，主句用would have done。与将来事实相反：从句用过去时/were to/should+动词原形。	考研英语一::语法
However, whether such a sense of fairness evolved independently in capuchins and humans, or whether it stems from the common ancestor that the species had 35 million years ago, is, as yet, an unanswered question. 该句共有几个分句？	A. 2 个：只有两个 whether 从句，其余都是修饰成分<br>B. 4 个：evolved、stems、had 各领一个从句，is 是主句谓语<br>C. 5 个：还要加上 as yet 构成的插入分句<br>D. 3 个：evolved、stems 各领一个从句，is 是主句谓语	B	方法：数谓语定分句——有几个谓语就有几个分句。evolved（主语从句①，主语 such a sense of fairness）、stems（主语从句②，主语 it）、had（定语从句，修饰 the common ancestor，主语 the species、宾语 35 million years）、is（主句系动词）。主干：whether… or whether… is an unanswered question。两个并列主语从句整体作主语，视为一个整体，谓语用单数 is。	考研英语一::语法
The company, a major energy supplier in New England, provoked justified outrage in Vermont last week. 该句的谓语是？	A. supplier（把同位语的中心词当成了谓语）<br>B. provoked（主语是 The company，同位语被一对逗号括起）<br>C. provoked 与 is 并列作谓语<br>D. is（把 a major energy supplier 当成了主语）	B	主语后紧跟「逗号 + 名词短语」时，先判断该名词短语是否与主语同指（同位语）。a major energy supplier in New England 与 The company 同指，可改写为「也就是……」，整体括起跳过后，谓语是 provoked。主语与谓语之间隔了 8 个词，这是分隔结构的典型形态。	考研英语一::语法
…may, if left unchecked, be sowing the seeds of social fragmentation… 中 if left unchecked 还原后是？	A. if the seeds are unchecked（主语是 the seeds）<br>B. if leaving unchecked（left 在这里是现在分词）<br>C. if it was left unchecked（主语指代前一句的内容）<br>D. if they are left unchecked（省略了与主句相同的主语 + be）	D	条件/时间/比较状语从句中，若从句主语与主句主语一致且含 be，可省略「主语 + be」：if left unchecked = if they are left unchecked（they 指前面的 the very innovations）。同理比较从句：a technology that evolves faster than the laws (evolve) —— than 后没有谓语时，要补出与前文对应的谓语。	考研英语一::语法
the practical imperatives driving legislative action are becoming increasingly difficult to ignore 中，driving legislative action 的成分是？	A. 宾语补足语，补充说明 action<br>B. 谓语动词，与 are becoming 并列作谓语<br>C. 现在分词作后置定语修饰 imperatives；谓语是 are becoming<br>D. 动名词，与 the practical imperatives 一起作主语	C	名词后紧跟 doing / done / 形容词短语 / 介词短语 / 不定式时，先把这些后置定语整体括起，再向后找谓语。driving legislative action 修饰 imperatives（= which drive legislative action），真正的谓语是 are becoming，表语是 difficult to ignore。还原技巧：后置定语补回 which is / that is。	考研英语一::语法
…has intensified, with proponents arguing that its straightforward implementation outweighs the prohibitive hardware costs. 中 arguing 的逻辑主语是？	A. its straightforward implementation：that 从句里的主语<br>B. has intensified：主句谓语所对应的施动者<br>C. The debate：主句的主语，也就是全句谈论的对象<br>D. proponents：with + 名词 + doing，这个名词不是主句主语	D	with + 名词/代词 + doing / done / 形容词 / 介词短语 构成独立主格（with 复合结构），整体作状语；名词与该成分构成主动（doing）或被动（done）关系，且这个逻辑主语**不是**主句主语。此处 proponents 是 arguing 的逻辑主语。leave + 宾语 + doing / in + 名词 同理表「使宾语处于某状态」，不是「离开」。	考研英语一::语法
he did not accept as well founded the charge made by some of his critics that… 该句中 accept 的宾语是？	A. some of his critics（介词 by 的宾语）<br>B. as well founded（介词短语作宾语）<br>C. 句末 that 从句整体作 accept 的宾语<br>D. the charge（宾补 as well founded 被提到了宾语之前）	D	这是宾语后置（heavy NP shift）：动词后先出现宾补、再出现长宾语，结构为「动词 + 宾补(as/for/to be + 形容词) + 长宾语」。accept as well founded the charge = accept the charge as well founded。触发词：accept / regard / consider / dismiss / treat / deem / declare。同类：Most economists dismiss as unfounded the fear, voiced by several critics, that…	考研英语一::语法
He is no more diligent than his brother. 的含义是？	A. 他和他哥哥一样勤奋（两人程度相同）<br>B. 他不比他哥哥更勤奋（两者都勤奋，只是程度有别）<br>C. 他和他哥哥都不勤奋（两者都不）<br>D. 他比他哥哥更不勤奋（哥哥勤奋，他不勤奋）	C	no 表全盘否定，not 表程度比较：not more A than B = 不比 B 更 A（两者都 A，程度有别）；no more A than B = 两者都不 A（= neither）。同理 not less A than B（不比 B 差，两者都好）／ no less A than B（两者都 A，≈ as much as）。	考研英语一::语法
He is no more diligent than his brother. 的意思是「他不比他哥哥更勤奋」（两人都勤奋）。（对/错？）	A. 正确<br>B. 错误	B	错误。no 表全盘否定：no more A than B = 两者都不 A，本句意为「他和他哥哥都不勤奋」。「不比……更」（两者都 A，程度有别）要用 not more A than B。	考研英语一::语法
考研英语阅读中，作者态度题的解题关键是？	A. 选表述最中立、最不绝对的那个选项<br>B. 根据自己对文章主题的好恶来判断<br>C. 抓形容词、副词、语气词等态度线索词<br>D. 只看文章最后一段的结论句	C	作者态度题的解题线索：①形容词/副词（positive/negative/critical/objective）；②语气词（unfortunately/surprisingly）；③转折词后的内容（but/however 后往往是真实态度）；④举例的倾向性。注意区分作者态度与文中引用他人的观点。	考研英语一::阅读理解
考研阅读中最常见的干扰选项类型是？	A. 直接矛盾：选项表述与原文完全相反，容易排除<br>B. 表述绝对：选项中出现 must、never 等绝对词<br>C. 偷换概念：用原文关键词，但改变其含义或逻辑关系<br>D. 完全无关：选项内容在原文中找不到任何对应	C	偷换概念是考研阅读最常见的干扰方式：选项使用原文中的关键词，但改变了含义、范围、程度或逻辑关系，因此“看着眼熟”不等于正确。其他常见干扰类型：以偏概全、无中生有、过度推断、张冠李戴。直接矛盾或完全无关的选项通常一读就能排除。	考研英语一::阅读理解
考研英语阅读中，文章的主旨大意通常可以在首段和每段首句中找到。（对/错？）	A. 正确<br>B. 错误	A	正确。西方学术文章的典型结构是'总—分'或'总—分—总'。主旨通常在首段（特别是转折后）提出，每段首句往往是该段的主题句。但注意：有时主旨也可能在末段总结，或者通过反问句隐含表达。	考研英语一::阅读理解
阅读中推理判断题与细节理解题的核心区别是？	A. 推理题答案能在原文中直接找到，只是换了说法<br>B. 推理题考生词猜测，细节题考长难句分析<br>C. 推理题答案不直接出现，需在原文信息上做合理推断<br>D. 推理题只看段落首尾句，细节题需通读全段	C	细节题：答案可以在原文中直接找到（同义替换）。推理题：答案不在原文中直接出现，需要根据原文信息进行合理推断，但不得过度推断，必须有原文依据支撑。	考研英语一::阅读理解
英语长句翻译成中文时，最常用的方法是？	A. 逐词直译，保持英文原句的语序<br>B. 断句拆分，按中文逻辑重新排列语序<br>C. 省略全部修饰成分，只译句子主干<br>D. 先译所有从句，主句一律提到句首	B	英语重形合（靠连接词），中文重意合（短句流水排列）。长句翻译三步：①断句拆分（在从句、分词短语处断开）；②调整语序（定语后置→前置，状语提前）；③增词减词（补充隐含主语，省略冗余连接词）。	考研英语一::翻译
英语被动句翻译成中文时，通常应转换为主动句式。（对/错？）	A. 正确<br>B. 错误	A	正确。中文习惯用主动句式。英语被动句翻译常用方法：①添加泛指主语（人们/大家/有人）；②用'被/受/遭/得到'等保留被动；③转换为主动（The book was written by him → 他写了这本书）。大多数情况下转为主动更自然。	考研英语一::翻译
考研英语词汇学习中，“词根+词缀”方法的核心优势是？	A. 一次性掌握每个单词的全部义项和固定搭配<br>B. 脱离上下文也能准确确定单词在句中的含义<br>C. 记住更多单词的字母拼写顺序，减少拼写错误<br>D. 按词根理解词义本质、按词缀判断词性，批量拓展同族词	D	词根词缀法的核心：①词根决定词义核心（spect=看）；②前缀改变含义方向（re-=再次）；③后缀决定词性（-tion=名词）。掌握常见词根词缀后可批量理解和记忆同族词，效率远高于死记硬背。	考研英语一::词汇
在考研英语阅读中，遇到不认识的单词时最佳策略是？	A. 立即查词典确认词义后再继续读<br>B. 跳过该词，只抓句子的主干大意<br>C. 根据上下文语境和词根词缀推测词义<br>D. 标记该词，考后统一查词典处理	C	考研英语阅读考查的重要能力之一就是通过上下文推测生词含义。最佳策略：①看上下文的解释、举例、对比关系；②分析词根词缀判断词性与感情色彩；③回到句子验证。	考研英语一::词汇
词缀 "pre-" 的核心含义是？	A. 向外/离开<br>B. 在前/预先<br>C. 共同/一起<br>D. 在后/之后	B	pre- = 在前、预先（时间上先）。拆词：predict = pre(在前) + dict(说) → 事先说出 → 预言；preview = pre + view(看) → 预览；prepare = pre + pare(准备) → 准备。辨析：pre-（在前）↔ post-（在后）；别与 pro-（向前/支持）混。	考研英语一::词汇
词缀 "anti-" 的核心含义是？	A. 共同/一起<br>B. 支持/赞成<br>C. 反对/对抗<br>D. 在...之前	C	anti- = 反对、对抗。拆词：antibiotic = anti(抗) + bio(生命) + -tic → 抗生的 → 抗生素；antidote = anti + dot(给) → 解毒剂；antisocial = anti + social(社会的) → 反社会的。辨析：anti-（反对）↔ pro-（支持），考研写作表达立场时常用这对前缀。	考研英语一::词汇
词缀 "sub-" 的核心含义是？	A. 在...下面/次级<br>B. 在...上面/超越<br>C. 在...之间/相互<br>D. 跨越/转变	A	sub- = 在下方、次级。拆词：submarine = sub(下) + marine(海的) → 潜水艇；subordinate = sub(下) + ordin(顺序) + -ate → 顺序在下的 → 下属、下级的；subway = sub + way(路) → 地下的路 → 地铁。辨析：sub-（下）↔ super-（上）。	考研英语一::词汇
后缀 "-able/-ible" 的核心含义是？	A. 充满...的<br>B. 使...化<br>C. 没有/缺少...的<br>D. 能被...的（含被动义）	D	-able/-ible 是形容词后缀，核心是“能被……的”，含**被动**义。reliable = rely + able → 能被依靠的 → 可靠的；visible = vis(看) + ible → 能被看见的；unmistakable = un + mistake + able → 不可能被弄错的 → 明确无误的。辨析：-able（能被…的）↔ -ful（充满…的）↔ -less（没有…的）。	考研英语一::词汇
词缀 "re-" 的核心含义是？	A. 向前/支持<br>B. 回/再/重新<br>C. 向外/离开<br>D. 向下/去除	B	re- = 回、再、重新（方向上是“往回”或“再一次”）。拆词：return = re + turn(转) → 转回来 → 返回；review = re + view(看) → 再看一遍 → 复习；reject = re + ject(扔) → 扔回去 → 拒绝。注意：re- 不总是“再一次”，reject/recede 里是“往回”。	考研英语一::词汇
词缀 "inter-" 的核心含义是？	A. 在...之间/相互<br>B. 在...下面/次级<br>C. 在...外部/额外<br>D. 在...内部/在内	A	inter- = 在……之间、相互。拆词：international = inter + national(国家的) → 国家之间的 → 国际的；interact = inter + act(行动) → 相互作用 → 互动；internet = inter + net → 互联网络。辨析：inter-（之间）↔ intra-（内部）——intranet 是“内部网”，internet 是“互联网”。	考研英语一::词汇
词缀 "trans-" 的核心含义是？	A. 反对/相反<br>B. 跨越/穿过/转变<br>C. 共同/一起<br>D. 环绕/周围	B	trans- = 穿过、跨越、转变。拆词：transport = trans(跨越) + port(搬运) → 搬运过去 → 运输；translate = trans + lat(带) + e → 带过去 → 翻译；transform = trans + form(形状) → 变形 → 转变。	考研英语一::词汇
后缀 "-tion/-sion" 的核心含义是？	A. 形容词后缀（...的）<br>B. 动词后缀（使...）<br>C. 名词后缀（行为/过程/结果）<br>D. 副词后缀（...地）	C	-tion/-sion 把动词变名词，表示行为、过程或结果。decide → decision（决定）；educate → education（教育）；expand → expansion（扩展）。心法：后缀定词性——看到 -tion/-sion 就按名词处理。	考研英语一::词汇
词缀 "dis-" 的核心含义是？	A. 否定/相反/分离<br>B. 向前/预先<br>C. 共同/一起<br>D. 回/再/重新	A	dis- = 否定、相反、分离（两个义项要看具体词）。disagree = dis + agree(同意) → 不同意（否定）；discover = dis + cover(覆盖) → 揭开覆盖 → 发现（分离）；disconnect = dis + connect(连接) → 断开（分离）。辨析：dis-（否定/分离）↔ de-（向下/去除），decline 是“下降/拒绝”，不是“否定”。	考研英语一::词汇
词缀 "con-/com-" 的核心含义是？	A. 否定/分离<br>B. 共同/一起<br>C. 分开/离开<br>D. 向下/去除	B	con-/com- = 共同、一起（com- 用在 b/m/p 前，是 con- 的语音变体）。connect = con + nect(绑) → 绑在一起 → 连接；combine = com + bine → 结合；confer = con + fer(带来) → 带到一起 → 商议。辨析：con-（一起）↔ se-（分开）。	考研英语一::词汇
后缀 "-ment" 的核心含义是？	A. 动词后缀（使...化）<br>B. 副词后缀（...地）<br>C. 形容词后缀（具有...性质的）<br>D. 名词后缀（行为/结果）	D	-ment 把动词变名词，表示行为或结果。develop → development（发展）；manage → management（管理）；argue → argument（论点、争论）。辨析：同样表名词，-ment 侧重“行为/结果”，-tion 侧重“动作/状态”，-ness/-ity 侧重“性质”。	考研英语一::词汇
否定前缀 "in-" 在下列哪种情况下会发生语音同化，写成 "im-"？	A. 后接 l 开头的词根（如 legal）<br>B. 后接元音开头的词根（如 audible）<br>C. 后接 r 开头的词根（如 regular）<br>D. 后接 b/m/p 开头的词根（如 possible）	D	in- 是“最通用”的否定前缀，但会随词根首字母同化：接 b/m/p → im-（impossible, impartial）；接 l → il-（illegal）；接 r → ir-（irregular, irreversible）。例词：impossible(不可能的)、illegal(非法的)、irreversible(不可逆的)。	考研英语一::词汇
词缀 "over-" 的核心含义是？	A. 过度/超过<br>B. 不足/低于<br>C. 反对/对抗<br>D. 在...之间/相互	A	over- = 过度、超过（也有“在……上方”的空间义）。overload = over + load(负载) → 超载；overcome = over + come → 从上面过来 → 克服；overlook = over + look → 从上往下看 → 俯瞰/忽视。辨析：over-（过度）↔ under-（不足）：overestimate / underestimate。	考研英语一::词汇
词缀 "mis-" 的核心含义是？	A. 否定/相反<br>B. 错误/误<br>C. 共同/一起<br>D. 回/再/重新	B	mis- = 错误地、坏。mistake = mis + take(拿) → 拿错 → 错误；misunderstand = mis + understand(理解) → 误解；mislead = mis + lead(引导) → 误导。辨析：mis- 表“错误”，dis- 表“否定/分离”，de- 表“向下/去除”——三个都像否定，含义各不同。	考研英语一::词汇
后缀 "-ful" 与 "-less" 的关系是？	A. 二者含义相同，都表“充满...的”<br>B. -ful 是名词后缀，-less 是动词后缀<br>C. 二者都是副词后缀，表“...地”<br>D. -ful 表“充满...的”，-less 表“缺少...的”，二者互为反义	D	-ful 与 -less 是一对反义后缀：-ful = 充满……的（useful 有用的）；-less = 没有……的（useless 无用的）。同根对比：careful(小心的)/careless(粗心的)、hopeful(有希望的)/hopeless(绝望的)、groundless(毫无根据的)。	考研英语一::词汇
词根词缀法的核心心法是“词根定意思，前缀定方向，后缀定词性”。据此，判断生词的词性应看？	A. 词根<br>B. 后缀<br>C. 前缀 + 词根<br>D. 前缀	B	三步拆词：①切后缀定词性；②切前缀定方向；③找词根定意思。示范：unmistakable → 切出 -able（形容词）→ un-（否定）→ mistak(e)（弄错）→ 不可能被弄错的。	考研英语一::词汇
词根 “ced / cess” 的核心含义是？	A. 走、让<br>B. 扔<br>C. 带来<br>D. 站	A	ced/cess = 走、让。proceed = pro(向前) + ceed(走) → 向前走 → 继续进行；concede = con(一起) + cede(让) → 让一步 → 承认；access = ac(朝向) + cess(走) → 走近 → 接近。同族：exceed(超过)、recession(衰退)。	考研英语一::词汇
词根 “sist / sta” 的核心含义是？	A. 送、派<br>B. 站<br>C. 走、让<br>D. 引导	B	sist/sta = 站。insist = in(加强) + sist(站) → 站上去不动摇 → 坚称；resist = re(反/回) + sist → 站着顶回去 → 抵抗；consist = con(一起) + sist → 站在一起 → 组成。同源：stable(稳定的)、status(地位)。	考研英语一::词汇
词根 “fer” 的核心含义是？	A. 拿、抓<br>B. 说<br>C. 看<br>D. 带来	D	fer = 带来、拿。transfer = trans(跨越) + fer → 带过去 → 转移；confer = con(一起) + fer → 带到一起 → 商议、授予；prefer = pre(在前) + fer → 拿到前面 → 更喜欢；refer = re(回) + fer → 带回到 → 提及、参考。	考研英语一::词汇
词根 “ject” 的核心含义是？	A. 扔<br>B. 放<br>C. 转<br>D. 关	A	ject = 扔。reject = re(回) + ject → 扔回去 → 拒绝；inject = in(进入) + ject → 扔进去 → 注射；object = ob(朝向/反对) + ject → 扔到面前 → 物体/反对；project = pro(向前) + ject → 向前扔 → 项目、投射。	考研英语一::词汇
词根 “mit / miss” 的核心含义是？	A. 带来<br>B. 站<br>C. 引导<br>D. 送、派	D	mit/miss = 送、派。submit = sub(在下) + mit → 送到下面 → 提交、屈服；admit = ad(朝向) + mit → 送进去 → 承认、准许进入；commit = con(一起/加强) + mit → 交付 → 承诺、犯罪；dismiss = dis(离开) + miss → 送走 → 解散、解雇。	考研英语一::词汇
词根 “duc / duct” 的核心含义是？	A. 关<br>B. 引导<br>C. 拿、抓<br>D. 送、派	B	duc/duct = 引导。conduct = con(一起) + duct → 引导到一起 → 指挥、实施；induce = in(进入) + duce → 引入 → 诱导；deduce = de(向下/离开) + duce → 引导出来 → 推断；produce = pro(向前) + duce → 引出来 → 生产。	考研英语一::词汇
词根 “spect / spic” 的核心含义是？	A. 说<br>B. 看<br>C. 扔<br>D. 转	B	spect/spic = 看。perspective = per(贯穿) + spect → 看穿 → 视角；conspicuous = con(加强) + spic → 人人都看得见 → 显眼的；speculation = spect + -ulation → 看来看去 → 推测。同义词根 vid/vis 也表“看”：visible、evident。	考研英语一::词汇
词根 “dict” 的核心含义是？	A. 看<br>B. 引导<br>C. 说<br>D. 带来	C	dict = 说。predict = pre(在前) + dict → 事先说 → 预言；contradict = contra(相反) + dict → 说相反的话 → 反驳；indicate = in(朝向) + dic + -ate → 指向并说出 → 表明。	考研英语一::词汇
