#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
矩估计和最大似然估计的共同点是：	A. 都利用了总体分布的信息<br>B. 都是用样本统计量来估计总体参数<br>C. 估计结果一定相同<br>D. 都要求总体服从正态分布	B	矩估计和MLE都是点估计方法，都利用样本来估计总体参数。区别：矩估计用样本矩代替总体矩，不需要知道总体分布；MLE需要知道总体分布形式，通过最大化似然函数求估计。两者结果可能不同。	考研数学一::概率论与数理统计
样本方差S²=(1/(n-1))∑(Xᵢ-X̄)²是总体方差σ²的无偏估计。（对/错？）	A. 正确<br>B. 错误	A	正确。E(S²)=σ²，所以用n-1而不是n作除数的S²是σ²的无偏估计。直觉理解：用样本均值X̄代替真实均值μ时'损失了一个自由度'，所以用n-1修正。若用n作除数，则E(1/n·∑(Xᵢ-X̄)²)=(n-1)/n·σ²，是有偏的。	考研数学一::概率论与数理统计
函数f(x)在x₀处连续的定义中，不需要满足的条件是：	A. f(x₀)有定义<br>B. lim(x→x₀)f(x)存在<br>C. f'(x₀)存在<br>D. lim(x→x₀)f(x) = f(x₀)	C	连续的三个条件：①f(x₀)有定义；②极限存在；③极限等于函数值。可导(f'(x₀)存在)是比连续更强的条件——可导必连续，连续不一定可导。如|x|在x=0处连续但不可导。	考研数学一::高等数学
无穷小量与有界量的乘积一定是无穷小量。（对/错？）	A. 正确<br>B. 错误	A	正确。这是无穷小的性质之一：无穷小 × 有界量 = 无穷小。例如x→0时，x·sin(1/x)→0，因为x是无穷小，sin(1/x)有界。但注意：无穷小 × 无穷小 = 更高阶的无穷小。	考研数学一::高等数学
等价无穷小替换的条件是：	A. 只能在加减法中使用<br>B. 只能在乘除法中替换因子<br>C. 任何情况都能替换<br>D. 只能在极限为0时使用	B	等价无穷小替换只能在乘除因子中使用，不能在加减法中直接替换。例如：lim(x→0) sin(x)/x = lim(x→0) x/x = 1 ✓。但lim(x→0) (sinx-x)/x³ 不能将sinx直接替换为x，因为sinx和x在加减中不是因子关系。	考研数学一::高等数学
当 x→0 时，sin x − x 等价于下列哪一个无穷小？	A. x³/6<br>B. −x³/6<br>C. x²/2<br>D. −x²/2	B	泰勒展开 sin x = x − x³/6 + o(x³)，故 sin x − x ~ −x³/6。这是“sin x − x”型极限的标准替换。	考研数学一::高等数学
若 lim f(x) = A 存在，lim g(x) 不存在，则 lim [f(x) + g(x)] 必不存在。（对/错？）	A. 正确<br>B. 错误	A	反证：若和的极限存在，则 g = (f+g) − f 的极限也存在（极限运算法则），矛盾。同理，收敛×发散的乘积未必发散（收敛因子为 0 时）。	考研数学一::高等数学
f(x) = (sin x)/x 在 x = 0 处的间断点类型是？	A. 可去间断点<br>B. 跳跃间断点<br>C. 无穷间断点<br>D. 振荡间断点	A	x→0 时极限存在（=1）但 f(0) 无定义，补充定义 f(0)=1 即连续，故为可去间断点。	考研数学一::高等数学
求 \(\lim\limits_{n\to\infty}\sum\limits_{i=1}^{n}\dfrac{\sin(i\pi/n)}{n+1/i}\)，下列做法正确的是？	A. 夹逼放缩：分母分别换成 \(n+1\) 与 \(n\)，两边都化为定积分定义且极限相同<br>B. 直接舍弃 \(\dfrac{1}{i}\)（相对 \(n\) 很小），化为 \(\sum\dfrac{\sin(i\pi/n)}{n}\)<br>C. 把 \(\dfrac{1}{i}\) 用等价无穷小换成 \(\dfrac{1}{n}\) 后再求和<br>D. 先取 \(n\to\infty\) 再对 \(i\) 求和，得 \(\sum 0=0\)	A	无穷多项求和不能凭「每项都是无穷小」就舍弃扰动项：反例 \(\underbrace{\frac{1}{n}+\cdots+\frac{1}{n}}_{n\text{ 项}}=1\)。正确做法是夹逼：\(\sum\dfrac{\sin(i\pi/n)}{n+1}\le\) 原式 \(\le\sum\dfrac{\sin(i\pi/n)}{n}\)，两边都化为定积分定义 \(\int_{0}^{1}\sin(\pi x)\,dx=\dfrac{2}{\pi}\)。口诀「有限项看阶数，无穷项看累积」。	考研数学一::高等数学
已知 \(\lim\limits_{x\to 0}\dfrac{\ln(1-2x)+2x f(x)}{x^2}=0\) 且 \(f(0)=1\)，则 \(f'(0)=\) ？	A. \(1\)（泰勒展开到二阶，一阶主部相消后由二阶项定出）<br>B. \(0\)（用 \(\ln(1-2x)\sim-2x\) 替换，极限恒为 0，与 \(f'\) 无关）<br>C. \(-1\)（把二阶项 \(-2x^2\) 的系数当成 \(f'(0)\)）<br>D. \(2\)（把 \(2x f(x)\) 中的系数 2 当成 \(f'(0)\)）	A	\(\ln(1-2x)\) 的一阶项 \(-2x\) 与 \(2x f(x)\) 的一阶项 \(+2x\) 同阶、系数相反，直接用等价无穷小替换会让一阶主部完全抵消，丢失关键信息。须泰勒展开到二阶：\(\ln(1-2x)=-2x-2x^2+o(x^2)\)，代入得 \(\dfrac{2x(f(x)-1)-2x^2+o(x^2)}{x^2}\to 0\)，故 \(\dfrac{f(x)-1}{x}\to 1\)，即 \(f'(0)=1\)。	考研数学一::高等数学
因为 ln(1−2x) ~ −2x（x→0），所以求 lim(x→0) [ln(1−2x) + 2x·f(x)]/x² 时可以直接把 ln(1−2x) 换成 −2x。（对/错？）	A. 正确<br>B. 错误	B	错误。这里 −2x 与 2x·f(x) 的一阶项同阶且系数相反，替换后一阶主部完全抵消，被丢掉的二阶项 −2x² 才是决定极限的项。必须泰勒展开到二阶：ln(1−2x) = −2x − 2x² + o(x²)，由此得 f′(0) = 1。	考研数学一::高等数学
函数在某点可导与可微的关系是：	A. 一元函数中可导和可微等价<br>B. 可导一定可微，可微不一定可导<br>C. 可微一定可导，可导不一定可微<br>D. 两者无关	A	在一元函数中，可导和可微是等价的（都等价于导数存在）。但在多元函数中，可微比偏导存在更强——可微 ⇒ 偏导存在，但偏导存在不一定可微。这是考研常考的辨析点。	考研数学一::高等数学
若f(x)在[a,b]上连续，在(a,b)内可导，且f(a)=f(b)，则至少存在一点ξ∈(a,b)使得f'(ξ)=0。（对/错？）	A. 正确<br>B. 错误	A	正确。这是罗尔定理的完整表述。三个条件缺一不可：①闭区间连续；②开区间可导；③端点函数值相等。结论是存在导数为零的点（即水平切线）。罗尔定理是拉格朗日中值定理的特殊情况。	考研数学一::高等数学
洛必达法则适用的不定式类型不包括：	A. 0/0型<br>B. ∞/∞型<br>C. 0·∞型直接套用<br>D. 1^∞型（转化后）	C	洛必达法则直接适用于0/0型和∞/∞型。0·∞、∞-∞、0^∞、1^∞、∞^0等需要先转化为0/0或∞/∞形式再使用。例如0·∞可化为0/(1/∞)即0/0型。直接对0·∞型用洛必达是错误的。	考研数学一::高等数学
设 f(x) 在 x₀ 处可导，则 f′(x₀) = 0 是 x₀ 为 f(x) 极值点的（　）	A. 充分非必要条件<br>B. 必要非充分条件<br>C. 充要条件<br>D. 既非充分也非必要条件	B	费马定理：可导 + 极值 ⇒ f′(x₀)=0（必要性）；反之 y = x³ 在 x=0 处 f′=0 但非极值（非充分）。	考研数学一::高等数学
若 f(x) 在 x₀ 处连续，则 f(x) 在 x₀ 处必可导。（对/错？）	A. 正确<br>B. 错误	B	连续是可导的必要非充分条件。反例：y = |x| 在 x=0 连续但左右导数不等（−1 与 1），不可导。	考研数学一::高等数学
下列求导公式正确的是？	A. (aˣ)′ = aˣ·ln a（指数函数，变量在指数上）<br>B. (xᵃ)′ = xᵃ·ln x（按指数函数公式处理）<br>C. (aˣ)′ = x·aˣ⁻¹（按幂函数公式处理）<br>D. (aˣ)′ = aˣ（漏掉了 ln a 因子）	A	求导前先看清变量在底数还是在指数上：指数含变量 x → 指数函数公式 (aˣ)′ = aˣ·ln a；底数含变量 x → 幂函数公式 (xᵃ)′ = a·xᵃ⁻¹。	考研数学一::高等数学
对 f(x) = ln(1+x) − (ax + bx²) 求导，正确结果是？	A. 1/(1+x) − a + 2bx（漏掉 bx² 项的负号）<br>B. 1/(1+x) + a + 2bx（整体符号写反）<br>C. 1/(1+x) − a − 2b（把 bx² 当成 bx 求导）<br>D. 1/(1+x) − a − 2bx（负号分配到括号内每一项）	D	被减式整体求导时负号要分配到每一项：−(ax + bx²)′ = −(a + 2bx) = −a − 2bx，故 f′(x) = 1/(1+x) − a − 2bx。写的时候先给减式加括号再求导，不要心算合并。	考研数学一::高等数学
f(x) = arctan x，则 f⁽⁴⁾(0) = ？	A. 24（漏判奇偶性，按 4! 直接计算）<br>B. −1/3（错取了 x³ 项的系数）<br>C. 1/5（错把 x⁵ 项的系数当成 x⁴ 项的系数）<br>D. 0（arctan x 展开只含奇次幂，x⁴ 项系数为 0）	D	arctan x = x − x³/3 + x⁵/5 − x⁷/7 + … 只含奇次幂 ⇒ 偶数阶导数全为 0，故 f⁽⁴⁾(0) = 0。规律：sin x、arctan x 只含奇次幂（偶数阶导为 0）；cos x 只含偶次幂（奇数阶导为 0）。	考研数学一::高等数学
由 ln(1+x) = x − x²/2 + x³/3 − …，求 f⁽³⁾(0)（f(x) = ln(1+x)），正确结果是？	A. 2（= 3! 乘展开式中 x³ 的系数 1/3）<br>B. 1/3（直接把 x³ 项的系数当成导数值）<br>C. 6（= 3! 乘 1，把系数误当成 1）<br>D. 0（误以为 ln(1+x) 只含奇次项）	A	麦克劳林展开中 xⁿ 的系数是 aₙ = f⁽ⁿ⁾(0)/n!，所以 f⁽ⁿ⁾(0) = n!·aₙ。f⁽³⁾(0) = 3! × (1/3) = 2。展开式里的系数不是导数值，中间差一个 n!。	考研数学一::高等数学
已知 \(g(x)\) 在 \(x=0\) 处二阶可导，\(g(0)=g'(0)=0\)。求 \(\lim\limits_{x\to 0}\dfrac{g(x)}{x^2}\) 时，正确的做法是？	A. 用泰勒展开 \(g(x)=\dfrac{g''(0)}{2}x^2+o(x^2)\)，得极限 \(\dfrac{g''(0)}{2}\)<br>B. 连续两次洛必达，把 \(\lim\limits_{x\to 0}\dfrac{g''(x)}{2}\) 直接写成 \(\dfrac{g''(0)}{2}\)<br>C. 由 \(g(0)=g'(0)=0\) 断定 \(g(x)\equiv 0\)，故极限为 0<br>D. 洛必达一次得 \(\lim\limits_{x\to 0}\dfrac{g'(x)}{2x}\)，再由 \(g'(0)=0\) 得极限为 0	A	题目只给了「在 \(x=0\) 处二阶可导」，并没有说 \(g''(x)\) 在 0 的去心邻域存在或连续，而洛必达要求分子分母在去心邻域可导到所需阶数，所以只能用泰勒：\(g(x)=g(0)+g'(0)x+\dfrac{g''(0)}{2}x^2+o(x^2)=\dfrac{g''(0)}{2}x^2+o(x^2)\)，故 \(\dfrac{g(x)}{x^2}\to\dfrac{g''(0)}{2}\)。口诀「一点可导用泰勒，邻域可导才洛必达」。反例：\(f(x)=x^2\sin\frac1x\)，\(f'(0)=0\) 存在，但 \(x\ne0\) 时 \(f'(x)=2x\sin\frac1x-\cos\frac1x\)，\(\lim\limits_{x\to0}f'(x)\) 不存在。	考研数学一::高等数学
已知 g(x) 在 x = 0 处二阶可导，求 lim(x→0) g(x)/x² 时可以连续两次使用洛必达法则。（对/错？）	A. 正确<br>B. 错误	B	错误。「一点二阶可导」不保证 g″(x) 在 0 的去心邻域存在或连续，而洛必达要求分子分母在去心邻域可导到所需阶数。正确做法是用泰勒展开：g(x) = g″(0)x²/2 + o(x²)，极限为 g″(0)/2。口诀「一点可导用泰勒，邻域可导才洛必达」。	考研数学一::高等数学
f(x) = |x|x，在 x = 0 处？	A. 既是极值点又是拐点（f′ 与 f″ 同时变号）<br>B. 不是拐点（f″(0) 不存在，拐点必须在 f″ = 0 处取得）<br>C. 是拐点（f″(0) 不存在，但 f″ 在两侧变号）<br>D. 是极值点（f′ 在该点变号，故 f 有极值）	C	拐点判据是「f 在 x₀ 连续，且 f″ 在 x₀ 两侧变号」，对 f″(x₀) **是否存在**没有任何要求。f(x) = |x|x 在 x = 0 处 f″ 不存在，但两侧 f″ 变号，所以是拐点。「f″(x₀) = 0」只是 f″(x₀) 存在时的必要条件。可疑点必须列两类：① f″ 的零点；② f″ 不存在的点。	考研数学一::高等数学
若 f″(x₀) = 0，则点 (x₀, f(x₀)) 一定是曲线 y = f(x) 的拐点。（对/错？）	A. 正确<br>B. 错误	B	错误。f″(x₀)=0 只是拐点的必要条件（且仅当 f″(x₀) 存在时）。反例 f(x)=x⁴ 在 x=0 处 f″(0)=0，但 f″ 不变号，不是拐点；反过来 f(x)=|x|x 在 x=0 处 f″ 不存在，却**是**拐点。	考研数学一::高等数学
连续函数一定有原函数。（对/错？）	A. 正确<br>B. 错误	A	正确。连续函数一定有原函数（原函数存在定理）。但反过来不成立：有原函数的函数不一定连续（如含有跳跃间断点的函数可能有原函数）。另外，可积也不一定连续——有界且只有有限个间断点的函数可积。	考研数学一::高等数学
关于不定积分和定积分的关系，以下说法正确的是：	A. 不定积分是一个函数<br>B. 牛顿-莱布尼茨公式将不定积分与定积分联系起来<br>C. 定积分的结果是一个确定的数值<br>D. 不定积分的结果一定连续	C	定积分的结果是一个确定的数值（曲线下面积）。不定积分的结果是原函数族F(x)+C（不是单个函数）。牛顿-莱布尼茨公式 ∫[a,b]f(x)dx = F(b)-F(a) 联系的是定积分与原函数。	考研数学一::高等数学
定积分的几何意义是：	A. 函数图像与x轴围成面积的代数和<br>B. 函数图像与x轴围成面积的绝对值<br>C. 函数图像的长度<br>D. 函数的平均值	A	定积分的几何意义是曲线y=f(x)与x轴之间面积的代数和：x轴上方为正，下方为负。如果要算面积的绝对值，需要用∫|f(x)|dx。这就是为什么∫[-1,1]xdx=0而不是2。	考研数学一::高等数学
∫₀¹ x dx = ？	A. 1/2<br>B. 1<br>C. 2<br>D. 0	A	原函数 x²/2 代入上下限：1/2 − 0 = 1/2。几何上即直线 y=x 下三角形面积。	考研数学一::高等数学
若 f(x) 在 [a, b] 上连续，则 f(x) 在 [a, b] 上必可积（定积分存在）。（对/错？）	A. 正确<br>B. 错误	A	连续必可积；更弱地，有限个间断点的有界函数也可积。可积 ⇒ 有界（反之不然，如 Dirichlet 函数）。	考研数学一::高等数学
d/dx ∫₀ˣ e^(t²) dt = ？	A. e^(x²)<br>B. 2x·e^(x²)<br>C. e^(t²)<br>D. x·e^(x²)	A	变上限积分求导（微积分基本定理）：把上限 x 直接代入被积函数。若上限是 x² 才需要再乘 (x²)′ = 2x。	考研数学一::高等数学
下列积分公式正确的是？	A. ∫csc u du = ln|csc u − cot u| + C；∫sec u du = ln|sec u + tan u| + C<br>B. ∫csc u du = ln|sec u + tan u| + C；∫sec u du = ln|csc u − cot u| + C<br>C. ∫csc u du = −cot u + C；∫sec u du = tan u + C<br>D. ∫csc u du = ln|sin u| + C；∫sec u du = ln|cos u| + C	A	余割 csc u = 1/sin u（正弦的倒数），∫csc u du = ln|csc u − cot u| + C；正割 sec u = 1/cos u（余弦的倒数），∫sec u du = ln|sec u + tan u| + C。口诀「正弦配余割（公式带减号），余弦配正割（公式带加号）」；同族配对：csc 配 cot、sec 配 tan。兜底验证：(ln|csc u − cot u|)′ = csc u。	考研数学一::高等数学
凑微分时，(1/x)dx 应凑成？	A. d(x²/2)（n = −1 时套用 xⁿ⁺¹/(n+1)）<br>B. d(ln|x|)（1/x 的原函数是 ln|x|）<br>C. d(−1/x²)（按 1/x² 的导数凑）<br>D. d(x²)（按幂函数积分公式处理）	B	(1/x)dx → d(ln|x|)；(2/x)dx → d(2ln|x|)。错误根源是把幂函数公式 ∫xⁿdx = xⁿ⁺¹/(n+1) 套用到 n = −1 的情形，而 n = −1 是唯一例外。凑完可逆向验证：d(ln|x|) = (1/x)dx ✓，d(x²) = 2x dx ✗。	考研数学一::高等数学
分解 P(x)/[(x−a)(x²+px+q)]（其中 x²+px+q 不可约，判别式 Δ < 0）时，正确的设法是？	A. (Ax+B)/(x−a) + C/(x²+px+q)（一次因式上设一次式）<br>B. A/(x−a) + (Bx+C)/(x²+px+q)（二次因式上设一次式）<br>C. A/(x−a) + B/(x²+px+q)（二次因式上设常数）<br>D. A/(x−a) + (Bx+C)/(x²+px+q)²（二次因式取平方）	B	口诀「一次因式上面设常数，二次因式上面设一次」：分母几次，分子最高就设（次数 − 1）次。若在不可约二次因式上只设常数 B，通分后分子为 A(x²+px+q) + B(x−a)，只有 A、B 两个自由度却要匹配三个系数，一般无解。	考研数学一::高等数学
\(\int_{-a}^{a}\dfrac{1}{1+e^{kx}}\,dx\) = ？	A. \(a\)（用区间再现换元 \(x=-t\)，两式相加得 \(2I=2a\)）<br>B. \(2a\)（把被积函数当成偶函数直接加倍）<br>C. \(0\)（被积函数在对称区间上正负抵消）<br>D. \(a/2\)（换元后漏掉系数 2）	A	看到对称区间 \([-a,a]\) 上的 \(\dfrac{1}{1+e^{kx}}\)，第一反应是区间再现换元 \(x=-t\)：\(I=\int_{-a}^{a}\dfrac{1}{1+e^{-kx}}\,dx\)，与原式相加得 \(2I=\int_{-a}^{a}1\,dx=2a\)，故 \(I=a\)。口诀「对称区间先想换元，定积分上限减下限，恒正函数不积负」。	考研数学一::高等数学
∫(−a 到 a) 1/(1+e^{kx}) dx = a（a > 0，k 为任意非零常数）。（对/错？）	A. 正确<br>B. 错误	A	正确。对称区间先试区间再现换元 x = −t：I = ∫(−a 到 a) 1/(1+e^{−kx}) dx，两式相加得 2I = ∫(−a 到 a) 1 dx = 2a，故 I = a，与 k 无关。	考研数学一::高等数学
关于 \(\int_{-\infty}^{+\infty} x^3\,dx\)，下列说法正确的是？	A. 反常积分发散：单侧积分发散，不能由奇偶性得 0<br>B. 等于 0：\(x^3\) 是奇函数，对称区间上正负相消<br>C. 等于 0：即柯西主值，故反常积分收敛<br>D. 等于 \(+\infty\)：\(x^3\) 在正半轴无界	A	先判单侧收敛性：\(\int_{0}^{+\infty}x^3\,dx\) 与 \(\int_{-\infty}^{0}x^3\,dx\) 都发散，故反常积分 \(\int_{-\infty}^{+\infty}x^3\,dx\) 发散。奇函数在对称区间上的积分为 0，那只是**柯西主值**（强制两端同步趋向 \(b=-a\)），不能写成反常积分等于 0 —— 反常积分要求两端**各自独立**收敛。	考研数学一::高等数学
用极坐标求三叶玫瑰线 r = a·sin 3θ 所围面积时，积分限应取？	A. 0 到 π/3（一个周期对应一片叶）<br>B. 0 到 3π/2（叶数为 3，取 3 个半圈）<br>C. 0 到 π（n = 3 为奇数，转半圈即画完全部 3 片叶）<br>D. 0 到 2π（玫瑰线都要转整圈）	C	口诀「奇半偶全」：n 为奇数时取 0 到 π（叶数为 n）；n 为偶数时取 0 到 2π（叶数为 2n）。n 为奇数时，θ 从 π 到 2π 的轨迹与 0 到 π 完全重合，取 0 到 2π 会重复计算一遍，面积翻倍。另注意区分曲线类型：带平方的是双纽线（r² = a²cos 2θ），不带平方的才是玫瑰线（r = a·sin nθ）。	考研数学一::高等数学
已知 3x² + 2y² = 6，求 2x + y 的最大值，正确的做法是？	A. 用柯西不等式配系数造上界，得 √11，等号条件 3x = 4y<br>B. 用均值不等式得 2x + y ≥ 2√(2xy)，取等号点代入即为最大值<br>C. 用均值不等式得 2x + y ≤ (2x+y 的算术平均)，取等号即为最大值<br>D. 令 y = 0 代入约束得 x = √2，最大值就是 2√2	A	线性目标 + 二次型约束 → 用柯西不等式配系数造上界：2x + y = (2/√3)·√3x + (1/√2)·√2y ≤ √[(4/3 + 1/2)(3x² + 2y²)] = √11，等号条件 3x = 4y，此时取到最大值 √11 ≈ 3.32。自检三要素：方向（求最大用 ≤）、右端为常数、等号可达。	考研数学一::高等数学
多元函数中，偏导数存在与可微的关系是：	A. 偏导数存在则一定可微<br>B. 可微则偏导数一定存在<br>C. 两者等价<br>D. 偏导数连续是可微的充要条件	B	可微 ⇒ 偏导数存在（必要条件），但偏导数存在不一定可微。偏导数连续是可微的充分条件（不是必要条件）。关系链：偏导连续 → 可微 → 偏导存在 + 连续 → 各方向导数存在。	考研数学一::高等数学
若∂²f/∂x∂y和∂²f/∂y∂x都连续，则它们相等。（对/错？）	A. 正确<br>B. 错误	A	正确。这是Schwarz定理（混合偏导数相等定理）：若两个混合偏导数都连续，则∂²f/∂x∂y = ∂²f/∂y∂x，即求导顺序无关。如果不连续，混合偏导数可能不相等。考研中通常默认连续。	考研数学一::高等数学
计算 \(\iint_D \dfrac{x\cos\sqrt{x^2+y^2}}{x+y}\,d\sigma\)（\(D\) 关于 \(y=x\) 对称）时，正确思路是？	A. 用轮换对称 \(I=\frac12\iint_D[f(x,y)+f(y,x)]d\sigma\)，分母 \(x+y\) 约掉<br>B. 被积函数不对称，所以轮换对称用不了，直接上极坐标硬算<br>C. 先把区域 \(D\) 换成不对称的，再套用轮换对称<br>D. 由轮换对称直接得 \(I=\iint_D f(y,x)d\sigma=0\)	A	轮换对称性约束的是**区域**，不是被积函数。只要 \(D\) 关于 \(y=x\) 对称，就有 \(\iint_D f(x,y)\,d\sigma=\iint_D f(y,x)\,d\sigma\)，于是 \(I=\frac12\iint_D[f(x,y)+f(y,x)]\,d\sigma\)，相加后分子 \(x+y\) 与分母约掉，积分立刻简化。\(f(y,x)\ne f(x,y)\) 完全正常。口诀「轮换看区域，不看函数；不对称也能用，靠相加」。	考研数学一::高等数学
